Date,UBS - MS Accumulated Oriented Area
2020-12-01,0.0003467762135255267
2020-12-02,0.00032541287839395563
2020-12-03,0.00032685152430540266
2020-12-04,0.0003026676443539521
2020-12-05,0.00030411810011080715
2020-12-06,0.00030556855586766113
2020-12-07,0.00032811693038880987
2020-12-08,0.0003413737169301015
2020-12-09,0.0003282603744825725
2020-12-10,0.0003369478552732047
2020-12-11,0.00038508840378952136
2020-12-12,0.0003866842785811653
2020-12-13,0.00038828015337280617
2020-12-14,0.00044718150562094404
2020-12-15,0.00036933687758823846
2020-12-16,0.0003635266540743796
2020-12-17,0.0003524952867299297
2020-12-18,0.0003736806183332463
2020-12-19,0.0003752903579379125
2020-12-20,0.00037690009754257677
2020-12-21,0.0002513278215444997
2020-12-22,0.00031072714727670104
2020-12-23,0.00021998568082494461
2020-12-24,0.00023026924227770545
2020-12-25,0.00023220389929475005
2020-12-26,0.00023413855631179725
2020-12-27,0.00023607321332884163
2020-12-28,0.0002386469224810333
2020-12-29,0.0002504434424414211
2020-12-30,0.00025132986887620623
2020-12-31,0.0002230499652311011
2021-01-01,0.00022498392413190273
2021-01-02,0.00022691788303270607
2021-01-03,0.00022885184193350747
2021-01-04,0.00022488598580736193
2021-01-05,0.00016406501771424361
2021-01-06,6.953300702681586e-06
2021-01-07,-7.85732648597888e-05
2021-01-08,-4.2816327663665506e-05
2021-01-09,-4.1040216607023984e-05
2021-01-10,-3.92641055503842e-05
2021-01-11,-4.2388550006560236e-05
2021-01-12,-5.746512803828053e-05
2021-01-13,-1.050895110081421e-05
2021-01-14,-4.791222690286607e-05
2021-01-15,-4.171097633665771e-06
2021-01-16,-2.30486577143486e-06
2021-01-17,-4.3863390920525006e-07
2021-01-18,1.4275979530260947e-06
2021-01-19,4.4362732348392914e-05
2021-01-20,4.2196039801174496e-05
2021-01-21,5.037351951764921e-05
2021-01-22,7.312012742738015e-05
2021-01-23,7.504707586475671e-05
2021-01-24,7.697402430213458e-05
2021-01-25,0.00017172624780701458
2021-01-26,0.0001604476549301691
2021-01-27,0.0002711711858868486
2021-01-28,0.0002107289501634608
2021-01-29,0.00031956836952793375
2021-01-30,0.0003212226122590509
2021-01-31,0.00032287685499016996
2021-02-01,0.0002927864376783072
2021-02-02,0.0001858832776837232
2021-02-03,0.00018859379922878724
2021-02-04,0.0001437313093501794
2021-02-05,0.0001270173240863104
2021-02-06,0.00012884615180314054
2021-02-07,0.0001306749795199724
2021-02-08,5.885039521829911e-05
2021-02-09,6.032511230508143e-05
2021-02-10,4.871270457641524e-05
2021-02-11,7.85103386586254e-05
2021-02-12,4.992666794695561e-05
2021-02-13,5.159304474713607e-05
2021-02-14,5.3259421547318265e-05
2021-02-15,5.4925798347498726e-05
2021-02-16,-2.9483926305552514e-05
2021-02-17,1.4501412652045877e-05
2021-02-18,6.078714337902618e-05
2021-02-19,1.9933447667995312e-05
2021-02-20,2.163611047673996e-05
2021-02-21,2.333877328548591e-05
2021-02-22,-2.9455498141880022e-05
2021-02-23,-1.0571117769581431e-05
2021-02-24,-0.00010251714365990938
