Date,IBKR - GS Accumulated Oriented Area
2020-06-01,-0.0005420661730905629
2020-06-02,-0.0006447127426464767
2020-06-03,-0.0007830313638328193
2020-06-04,-0.0008853596688580619
2020-06-05,-0.0009557939702885516
2020-06-06,-0.0009534546704120586
2020-06-07,-0.0009511153705355701
2020-06-08,-0.0010124554029143
2020-06-09,-0.0009517255812447023
2020-06-10,-0.0008496187724744442
2020-06-11,-0.0003356617179729951
2020-06-12,-0.000546884570905569
2020-06-13,-0.000544600460525681
2020-06-14,-0.0005423163501457981
2020-06-15,-0.0006418135290385196
2020-06-16,-0.0007087161650155859
2020-06-17,-0.0006352012860758487
2020-06-18,-0.0005718574153923961
2020-06-19,-0.0005291017774068114
2020-06-20,-0.0005268240618967004
2020-06-21,-0.0005245463463865946
2020-06-22,-0.000581397031841022
2020-06-23,-0.0005988331414389178
2020-06-24,-0.00043306923837954647
2020-06-25,-0.0006630324912662443
2020-06-26,-0.0001869933402503306
2020-06-27,-0.00018479465375165042
2020-06-28,-0.00018259596725296275
2020-06-29,-0.0002618997299599843
2020-06-30,-0.00036493429643020116
2020-07-01,-0.0003433093877964272
2020-07-02,-0.0003081274176646681
2020-07-03,-0.00030616274227720846
2020-07-04,-0.000304198066889752
2020-07-05,-0.00030223339150229093
2020-07-06,-0.000489892792702126
2020-07-07,-0.00026295812185343564
2020-07-08,-0.0002644604144998241
2020-07-09,-0.0001590710345593763
2020-07-10,-0.00030309170922622345
2020-07-11,-0.0003018035929567447
2020-07-12,-0.0003005154766872627
2020-07-13,-0.0003482704536014609
2020-07-14,-0.00040456579148844744
2020-07-15,-0.00042040179866087175
2020-07-16,-0.0004033446940883605
2020-07-17,-0.00036464228904010986
2020-07-18,-0.0003634986623449251
2020-07-19,-0.0003623550356497405
2020-07-20,-0.0003636596312435493
2020-07-21,-0.0003689610608297038
2020-07-22,-0.00027777508531337037
2020-07-23,-0.0002695388261529584
2020-07-24,-0.0002584382570801813
2020-07-25,-0.0002572596378815628
2020-07-26,-0.00025608101868294464
2020-07-27,-0.000262081348966055
2020-07-28,-0.0002521673071677813
2020-07-29,-0.00024527893838830947
2020-07-30,-0.0002094591783607558
2020-07-31,-0.00018502659410261815
2020-08-01,-0.00018395507231181156
2020-08-02,-0.0001828835505210052
2020-08-03,-0.00016901206105538326
2020-08-04,-0.00019666675986910434
2020-08-05,-0.00021368800080718295
2020-08-06,-0.00023567938998028952
2020-08-07,-0.0002872169685133605
2020-08-08,-0.00028612065405794187
2020-08-09,-0.00028502433960252323
2020-08-10,-0.0003373560682040219
2020-08-11,-0.0003599081913443317
2020-08-12,-0.0003502299913141125
2020-08-13,-0.0003002326244415422
2020-08-14,-0.0002614277640938091
2020-08-15,-0.0002604547165734653
2020-08-16,-0.0002594816690531241
2020-08-17,-0.00019404407034987522
2020-08-18,-0.00016802170118189593
2020-08-19,-0.0001740435773746982
2020-08-20,-0.00016316105706800808
2020-08-21,-0.00019460947053751248
2020-08-22,-0.00019367663767282215
2020-08-23,-0.00019274380480813636
2020-08-24,-0.00025321987283300255
2020-08-25,-0.00023611056487751118
2020-08-26,-0.00023043871513306704
2020-08-27,-0.00026005285002749174
2020-08-28,-0.00022234769488829894
2020-08-29,-0.00022151525807914902
2020-08-30,-0.00022068282127000256
2020-08-31,-0.00018903190211678198
2020-09-01,-0.00018839518956438595
2020-09-02,-0.00024765790546850777
2020-09-03,-0.00022415490823943208
2020-09-04,-0.00029287385138972405
2020-09-05,-0.0002918042091757634
2020-09-06,-0.0002907345669617993
2020-09-07,-0.0002896649247478352
2020-09-08,-0.00024037384781211402
2020-09-09,-0.00025174886764934364
2020-09-10,-0.00023276352504076616
2020-09-11,-0.0002411177256281769
2020-09-12,-0.00023968596596605108
2020-09-13,-0.00023825420630391994
2020-09-14,-0.00023401612109742568
2020-09-15,-0.00017812916544797332
2020-09-16,-0.00021760668115077854
2020-09-17,-8.757746067347325e-05
2020-09-18,-6.942240516667243e-05
2020-09-19,-6.822127585315394e-05
2020-09-20,-6.702014653963177e-05
