Date,UBS - UNCRY Accumulated Oriented Area
2020-05-30,0.00232384458435691
2020-05-31,0.0023230293097267992
2020-06-01,0.0022535300926480486
2020-06-02,0.002279869217206311
2020-06-03,0.0021815627849485993
2020-06-04,0.002138425448711354
2020-06-05,0.0020736434553641167
2020-06-06,0.002073318480738599
2020-06-07,0.002072993506113083
2020-06-08,0.001986231164196508
2020-06-09,0.002024851175540325
2020-06-10,0.002136781282575647
2020-06-11,0.0022739289172204235
2020-06-12,0.0022217923774780876
2020-06-13,0.002221168755772362
2020-06-14,0.0022205451340666367
2020-06-15,0.002181200637784955
2020-06-16,0.0020643421159991216
2020-06-17,0.0021153459816448004
2020-06-18,0.0021480642195037545
2020-06-19,0.0021248489760579583
2020-06-20,0.0021243231335361774
2020-06-21,0.0021237972910143964
2020-06-22,0.002161279039240605
2020-06-23,0.0021308693151031086
2020-06-24,0.0021488207671787572
2020-06-25,0.0023014024632161613
2020-06-26,0.0023533362581229064
2020-06-27,0.0023525881038469858
2020-06-28,0.0023518399495710647
2020-06-29,0.002191374502727831
2020-06-30,0.002299443061765531
2020-07-01,0.002297819853782502
2020-07-02,0.0022209519291461733
2020-07-03,0.0022204335104728475
2020-07-04,0.0022199150917995205
2020-07-05,0.0022193966731261935
2020-07-06,0.002169257595777925
2020-07-07,0.002158218500527585
2020-07-08,0.0022065094931523347
2020-07-09,0.0022866971344045937
2020-07-10,0.0022608235670853703
2020-07-11,0.002260290142688593
2020-07-12,0.0022597567182918144
2020-07-13,0.0022158986633564956
2020-07-14,0.0022293794367427002
2020-07-15,0.0021655386444482763
2020-07-16,0.0021937559600716874
2020-07-17,0.0021307233381191596
2020-07-18,0.0021304012717078573
2020-07-19,0.0021300792052965554
2020-07-20,0.002137453822471013
2020-07-21,0.0021349323369914573
2020-07-22,0.002081754727660851
2020-07-23,0.0021789600391917564
2020-07-24,0.002147155269520271
2020-07-25,0.0021468154213813303
2020-07-26,0.00214647557324239
2020-07-27,0.0022035738056165968
2020-07-28,0.0021979137830741855
2020-07-29,0.002217653892790798
2020-07-30,0.0022879706215243167
2020-07-31,0.0023727394260143584
2020-08-01,0.0023719964899037195
2020-08-02,0.0023712535537930807
2020-08-03,0.002393033218261749
2020-08-04,0.002316646359511353
2020-08-05,0.0023525693802860423
2020-08-06,0.0024099239906326597
2020-08-07,0.002438417099818545
2020-08-08,0.0024376625639776243
2020-08-09,0.002436908028136704
2020-08-10,0.002460653754157919
2020-08-11,0.002324116866396651
2020-08-12,0.002301051558997078
2020-08-13,0.002351910306091909
2020-08-14,0.0022785177019132366
2020-08-15,0.0022780374677715677
2020-08-16,0.0022775572336298983
2020-08-17,0.0023421741974008602
2020-08-18,0.002271509563319516
2020-08-19,0.002237328556040076
2020-08-20,0.002258823776704001
2020-08-21,0.002267744388973364
2020-08-22,0.0022672243819338075
2020-08-23,0.0022667043748942524
2020-08-24,0.002275232125906318
2020-08-25,0.0022834387369242573
2020-08-26,0.0022986778652816955
2020-08-27,0.002341062628497764
2020-08-28,0.002205640107047063
2020-08-29,0.0022052609036206728
2020-08-30,0.002204881700194283
2020-08-31,0.002244144046114353
2020-09-01,0.0023013295015358753
2020-09-02,0.0023869488954365637
2020-09-03,0.0023902713378238633
2020-09-04,0.0023072349754482647
2020-09-05,0.0023066911793686493
2020-09-06,0.0023061473832890343
2020-09-07,0.002305603587209419
2020-09-08,0.0023950465031222293
2020-09-09,0.002364464539438969
2020-09-10,0.0022834006740258795
2020-09-11,0.0023474718064527443
2020-09-12,0.0023468632852458524
2020-09-13,0.0023462547640389604
2020-09-14,0.0024174429686531535
2020-09-15,0.0023862459551015182
2020-09-16,0.002447648222129163
2020-09-17,0.0024130032019101296
2020-09-18,0.002483394082889291
2020-09-19,0.0024825249107045724
2020-09-20,0.0024816557385198544
2020-09-21,0.002467559245349668
2020-09-22,0.0024919450134930562
2020-09-23,0.0025623522718121253
2020-09-24,0.0022835975221869326
2020-09-25,0.0022493649855459324
2020-09-26,0.0022483263349052777
2020-09-27,0.002247287684264621
2020-09-28,0.002329212813832195
2020-09-29,0.0023503599084796654
2020-09-30,0.002398344834243607
2020-10-01,0.002431391108699496
2020-10-02,0.00251905948956843
2020-10-03,0.0025179320211032833
2020-10-04,0.002516804552638136
2020-10-05,0.0025036461963589803
2020-10-06,0.002387526287050329
2020-10-07,0.002424073329531095
2020-10-08,0.0023460057260358395
2020-10-09,0.0023606700264887474
2020-10-10,0.0023598126319875957
2020-10-11,0.002358955237486444
2020-10-12,0.0024672883600401845
2020-10-13,0.002537137718278132
2020-10-14,0.0025348976540466132
2020-10-15,0.0025585533729112677
2020-10-16,0.002666899742902423
2020-10-17,0.0026656555097958746
2020-10-18,0.002664411276689325
2020-10-19,0.0027002921208044172
2020-10-20,0.0028122311962309925
2020-10-21,0.002864022182562726
2020-10-22,0.0029609507771889195
2020-10-23,0.0029217724612419517
2020-10-24,0.002920458193370304
2020-10-25,0.0029191439254986564
2020-10-26,0.002907209555084179
2020-10-27,0.0029703724994812686
2020-10-28,0.002840997260088156
2020-10-29,0.002900625991222391
2020-10-30,0.002849257799271253
2020-10-31,0.0028477107044181838
2020-11-01,0.0028461636095651146
2020-11-02,0.0028790203623961573
2020-11-03,0.0030712370630352347
2020-11-04,0.0029258562179464045
2020-11-05,0.0030850390061285976
2020-11-06,0.0031522838731705928
2020-11-07,0.0031508414286687703
2020-11-08,0.0031493989841669505
2020-11-09,0.0030372978954220807
2020-11-10,0.0029508010276209327
2020-11-11,0.0029620358148743546
2020-11-12,0.002982082274411957
2020-11-13,0.0029182039944274226
2020-11-14,0.0029174662821784742
2020-11-15,0.0029167285699295267
2020-11-16,0.0030169299641582678
2020-11-17,0.0030217775204165334
2020-11-18,0.00299707908643111
2020-11-19,0.0030232677545800604
2020-11-20,0.002981308439711137
2020-11-21,0.002980687361785795
2020-11-22,0.0029800662838604525
2020-11-23,0.002977782897611914
2020-11-24,0.0029321832689128587
2020-11-25,0.002917830842490483
2020-11-26,0.0029174824050258222
2020-11-27,0.0029273684593197524
2020-11-28,0.002926973166641199
2020-11-29,0.0029265778739626445
2020-11-30,0.002946253920006244
2020-12-01,0.0031678275263878
2020-12-02,0.0031441283471598516
2020-12-03,0.0031421421766627865
2020-12-04,0.003089479631621152
2020-12-05,0.003088658957954958
2020-12-06,0.0030878382842887647
2020-12-07,0.003117595647642647
2020-12-08,0.0031269340986258094
2020-12-09,0.0031249891652739845
2020-12-10,0.003053295336240101
2020-12-11,0.0030361058143972466
2020-12-12,0.0030352020930182566
2020-12-13,0.0030342983716392666
2020-12-14,0.0030920450833504627
2020-12-15,0.003120974489593473
2020-12-16,0.003103644029362107
2020-12-17,0.003066394797924432
2020-12-18,0.003080461257222437
2020-12-19,0.003079496542758333
2020-12-20,0.0030785318282942303
2020-12-21,0.0030688678213413945
2020-12-22,0.0030355825572686425
2020-12-23,0.0031137995943283873
2020-12-24,0.003078836470499856
2020-12-25,0.0030778702237689516
2020-12-26,0.0030769039770380474
2020-12-27,0.0030759377303071433
2020-12-28,0.003089835380847638
2020-12-29,0.0031058888600288825
2020-12-30,0.003080398458147909
2020-12-31,0.0031377061962867543
2021-01-01,0.0031366145746900406
2021-01-02,0.0031355229530933273
2021-01-03,0.0031344313314966136
2021-01-04,0.003146600657327849
2021-01-05,0.003235087892281234
2021-01-06,0.003266057594748863
2021-01-07,0.003348573225686338
2021-01-08,0.0032861652599363985
2021-01-09,0.0032852648373144504
2021-01-10,0.0032843644146925027
2021-01-11,0.0032860887331497136
2021-01-12,0.003319890325383034
2021-01-13,0.0032753223194699824
2021-01-14,0.0033206520127137063
2021-01-15,0.003315316286811763
2021-01-16,0.003314165900855477
2021-01-17,0.0033130155148991913
2021-01-18,0.003311865128942905
2021-01-19,0.0032419207088569147
2021-01-20,0.0032028614712762264
2021-01-21,0.0032028367993039092
2021-01-22,0.0032285716692753872
2021-01-23,0.0032275349374669476
2021-01-24,0.003226498205658507
2021-01-25,0.003209368909517541
2021-01-26,0.0032534813301767092
2021-01-27,0.0032023520437816306
2021-01-28,0.0033125879035706602
2021-01-29,0.003158367385029105
2021-01-30,0.0031572458818087336
2021-01-31,0.0031561243785883644
2021-02-01,0.0031845104957632362
2021-02-02,0.0031939046020489567
2021-02-03,0.0031914614670190923
2021-02-04,0.003166656524662415
2021-02-05,0.0031288586120940096
2021-02-06,0.003128095265813905
2021-02-07,0.0031273319195338004
2021-02-08,0.0031479418228587516
2021-02-09,0.0031500558051664445
2021-02-10,0.003138266633725049
2021-02-11,0.0031745299218347714
2021-02-12,0.0031861360807580027
2021-02-13,0.003185339750970231
2021-02-14,0.003184543421182459
2021-02-15,0.003183747091394687
2021-02-16,0.003254291008890188
2021-02-17,0.003233673837003433
2021-02-18,0.0031954728401041256
2021-02-19,0.0032053782705203275
2021-02-20,0.0032045101269868354
2021-02-21,0.003203641983453343
2021-02-22,0.00324084097459822
2021-02-23,0.0031918880601951058
2021-02-24,0.0032219690199491663
2021-02-25,0.003227091258366619
2021-02-26,0.0031683870930409486
2021-02-27,0.0031676408712818203
2021-02-28,0.0031668946495226917
2021-03-01,0.00317222829446627
2021-03-02,0.0032033513055843106
2021-03-03,0.0031580919048571454
2021-03-04,0.003149007048703858
2021-03-05,0.0031566187802016367
2021-03-06,0.003155979903102761
2021-03-07,0.0031553410260038847
2021-03-08,0.003119726908927709
2021-03-09,0.0031369585651810335
2021-03-10,0.0031257026020606524
2021-03-11,0.0031154694218753576
2021-03-12,0.0031032727958543232
2021-03-13,0.0031027741082703874
2021-03-14,0.003102275420686452
2021-03-15,0.003105565985643338
2021-03-16,0.00309694524569041
2021-03-17,0.0031003038255350843
2021-03-18,0.0031261144209763433
2021-03-19,0.003152992011848491
2021-03-20,0.003152402124323337
2021-03-21,0.003151812236798183
2021-03-22,0.003174655883549927
2021-03-23,0.00314286027661877
2021-03-24,0.003134880387856832
2021-03-25,0.0031712354112235458
2021-03-26,0.003165498501225736
2021-03-27,0.003164807845672237
2021-03-28,0.0031641171901187377
2021-03-29,0.0031127951690296716
2021-03-30,0.003084333609463509
2021-03-31,0.0030939458794621766
2021-04-01,0.0031274370431240797
2021-04-02,0.0031267921393987146
2021-04-03,0.0031261472356733495
2021-04-04,0.0031255023319479843
2021-04-05,0.0031351456245276303
2021-04-06,0.0031770580210832926
2021-04-07,0.00317781310353449
2021-04-08,0.0031948228955819666
2021-04-09,0.003203226429358776
2021-04-10,0.003202329367421121
2021-04-11,0.003201432305483465
2021-04-12,0.003198705739319227
2021-04-13,0.003097771478982097
2021-04-14,0.00313325487863496
2021-04-15,0.003159344444688565
2021-04-16,0.0031783995029374735
2021-04-17,0.003177547930448302
2021-04-18,0.0031766963579591303
2021-04-19,0.0031312479554585397
2021-04-20,0.003129401399474139
2021-04-21,0.0031329797198778988
2021-04-22,0.003100482455128875
2021-04-23,0.0031051984980340324
2021-04-24,0.0031042049606671784
2021-04-25,0.0031032114233003247
2021-04-26,0.0030714592949202917
2021-04-27,0.0030285185739467504
2021-04-28,0.003064615076767841
2021-04-29,0.0030478359624584086
2021-04-30,0.003021052995385736
2021-05-01,0.0030202889220471898
2021-05-02,0.0030195248487086433
2021-05-03,0.0029873706871486644
2021-05-04,0.002947055965783776
2021-05-05,0.002976257660154745
2021-05-06,0.002940636824934738
