Date,UBS - BMO Accumulated Oriented Area
2021-06-13,0.0031640293468374516
2021-06-14,0.003163044645762319
2021-06-15,0.0031425169862033964
2021-06-16,0.0031659360472769955
2021-06-17,0.0032481145830810902
2021-06-18,0.003336883391658869
2021-06-19,0.0033384053302814923
2021-06-20,0.0033399272689041176
2021-06-21,0.003294826404019697
2021-06-22,0.003316889698578794
2021-06-23,0.0033084314625270203
2021-06-24,0.0032869851424714193
2021-06-25,0.0032674834941156003
2021-06-26,0.003269116367618844
2021-06-27,0.0032707492411220875
2021-06-28,0.0033259503024111086
2021-06-29,0.0033547091115348894
2021-06-30,0.0033688165464821197
2021-07-01,0.003331464657349178
2021-07-02,0.003348221437349598
2021-07-03,0.003349848054646127
2021-07-04,0.0033514746719426588
2021-07-05,0.003353101289239188
2021-07-06,0.0034232697342618254
2021-07-07,0.003442437193973798
2021-07-08,0.0035510284983051093
2021-07-09,0.0034674369054364432
2021-07-10,0.0034690786031339733
2021-07-11,0.003470720300831501
2021-07-12,0.0034368364707664137
2021-07-13,0.003464393024058527
2021-07-14,0.003466356910659791
2021-07-15,0.0034951385674739954
2021-07-16,0.0035471062859399006
2021-07-17,0.003548661394766922
2021-07-18,0.0035502165035939466
2021-07-19,0.00368404046792141
2021-07-20,0.003579653032439549
2021-07-21,0.0034863838325046126
2021-07-22,0.0035100509126808244
2021-07-23,0.0034705044152612587
2021-07-24,0.003471766348804583
2021-07-25,0.0034730282823479063
2021-07-26,0.003425498090349919
2021-07-27,0.0034325263890869506
2021-07-28,0.0034286955694872562
2021-07-29,0.003368956997281678
2021-07-30,0.0033978537538847083
2021-07-31,0.0033990126606272685
2021-08-01,0.0034001715673698295
2021-08-02,0.0034169550784075263
2021-08-03,0.0033881915063116172
2021-08-04,0.0034042426550811647
2021-08-05,0.0033704337882045194
2021-08-06,0.0033500885099557193
2021-08-07,0.003351198464528808
2021-08-08,0.003352308419101896
2021-08-09,0.003357819503885539
2021-08-10,0.0033337116096125176
2021-08-11,0.003305317775065697
2021-08-12,0.0033084472201051064
2021-08-13,0.0033043009283448437
2021-08-14,0.0033054750221310904
2021-08-15,0.003306649115917337
2021-08-16,0.0033225848882761726
2021-08-17,0.0033587897213803
2021-08-18,0.003367227670689009
2021-08-19,0.0034227339134830707
2021-08-20,0.003406459986359786
2021-08-21,0.0034075887673847777
2021-08-22,0.0034087175484097676
2021-08-23,0.0033702371015131927
2021-08-24,0.003332822194036916
2021-08-25,0.003311554372888393
2021-08-26,0.003384101048384398
2021-08-27,0.0033653678331298643
2021-08-28,0.0033664747794268706
2021-08-29,0.0033675817257238783
2021-08-30,0.0034046616310333196
2021-08-31,0.003411075200800498
2021-09-01,0.0033874032765250925
2021-09-02,0.0033735334737491607
2021-09-03,0.0033739562894737627
2021-09-04,0.0033751773880807026
2021-09-05,0.003376398486687644
2021-09-06,0.0033776195852945833
2021-09-07,0.003386091048182851
2021-09-08,0.0034069106836420162
2021-09-09,0.0034156724189739014
2021-09-10,0.0034207991032709334
2021-09-11,0.0034220080956081267
2021-09-12,0.0034232170879453187
2021-09-13,0.003389135669402843
2021-09-14,0.0034274417838562918
2021-09-15,0.003395824759274868
2021-09-16,0.0033942342823318297
2021-09-17,0.003455038827513074
2021-09-18,0.0034562531557301005
2021-09-19,0.0034574674839471277
2021-09-20,0.003617025122636183
2021-09-21,0.003623147697503958
2021-09-22,0.003556456618377217
2021-09-23,0.003483851908852466
2021-09-24,0.0034740976133504735
2021-09-25,0.0034755122403928745
2021-09-26,0.0034769268674352738
2021-09-27,0.003424994853476873
2021-09-28,0.0034784062495860153
2021-09-29,0.0034699649754465407
2021-09-30,0.003508591849824492
2021-10-01,0.003488481021947614
2021-10-02,0.003489838897996585
2021-10-03,0.003491196774045558
2021-10-04,0.0034815019070190013
2021-10-05,0.0034290636430197325
2021-10-06,0.003445176190897519
2021-10-07,0.003378213492250522
2021-10-08,0.003322952503137239
2021-10-09,0.0033243312641449323
2021-10-10,0.0033257100251526247
2021-10-11,0.003341442923656364
2021-10-12,0.0033407387612322532
2021-10-13,0.003336097840406308
2021-10-14,0.0032645561924896675
2021-10-15,0.0032279124174290283
2021-10-16,0.003229276788895234
2021-10-17,0.0032306411603614405
2021-10-18,0.0032449728851566876
2021-10-19,0.0032276562374663562
2021-10-20,0.0031890101987651675
2021-10-21,0.0031951897449846653
2021-10-22,0.0031517356887449206
2021-10-23,0.0031531244644413085
2021-10-24,0.003154513240137697
2021-10-25,0.003129225165078459
