Date,MS - HDB Accumulated Oriented Area
2020-04-19,0.002343030772886505
2020-04-20,0.002151946936193149
2020-04-21,0.0022520865454319764
2020-04-22,0.0021533676723142006
2020-04-23,0.0021118146400778484
2020-04-24,0.002246227270071573
2020-04-25,0.002244614311009539
2020-04-26,0.002243001351947508
2020-04-27,0.0023058780853495754
2020-04-28,0.0023542031397466856
2020-04-29,0.0020985158676699762
2020-04-30,0.002126660064749518
2020-05-01,0.002154130988052426
2020-05-02,0.002152844723109954
2020-05-03,0.002151558458167479
2020-05-04,0.0022527794588389476
2020-05-05,0.002235672822419531
2020-05-06,0.0021743588753366226
2020-05-07,0.002352310440634752
2020-05-08,0.0024392860415846742
2020-05-09,0.002437687376503789
2020-05-10,0.0024360887114229057
2020-05-11,0.0025880636647631666
2020-05-12,0.002279144775046498
2020-05-13,0.002377687745302822
2020-05-14,0.002511476683311124
2020-05-15,0.0025742647570241237
2020-05-16,0.0025720758412770984
2020-05-17,0.0025698869255300788
2020-05-18,0.002915952845172519
2020-05-19,0.0028643340796575024
2020-05-20,0.0028830952539772785
2020-05-21,0.0028492311406394313
2020-05-22,0.0028719777573529975
2020-05-23,0.00286971651408689
2020-05-24,0.002867455270820784
2020-05-25,0.002865194027554676
2020-05-26,0.0031708227459150955
2020-05-27,0.0032642815684128922
2020-05-28,0.0030649216467758984
2020-05-29,0.003006466482465625
2020-05-30,0.003004902494300713
2020-05-31,0.0030033385061358038
2020-06-01,0.0029983778978395466
2020-06-02,0.0029444603096166304
2020-06-03,0.002945566654859352
2020-06-04,0.0030522048948304335
2020-06-05,0.0030228269734498053
2020-06-06,0.0030219256886290765
2020-06-07,0.003021024403808351
2020-06-08,0.0030898873260497765
2020-06-09,0.003148528977024199
2020-06-10,0.0030603716471660275
2020-06-11,0.0029161795626374354
2020-06-12,0.0029527870126115105
2020-06-13,0.002951224423850533
2020-06-14,0.0029496618350895536
2020-06-15,0.0030481390096897
2020-06-16,0.003084831850509986
2020-06-17,0.0030337410756703653
2020-06-18,0.002980318417178562
2020-06-19,0.002904185842998054
2020-06-20,0.002902957548373564
2020-06-21,0.002901729253749073
2020-06-22,0.002923083271451791
2020-06-23,0.0029198369464956196
2020-06-24,0.0029231076192420564
2020-06-25,0.0029571514305755386
2020-06-26,0.0028921034009254188
2020-06-27,0.0028909295716681633
2020-06-28,0.0028897557424109044
2020-06-29,0.0028756649113635376
2020-06-30,0.002932107772592324
2020-07-01,0.0028091058549292703
2020-07-02,0.0028214675142799865
2020-07-03,0.002820646788321923
2020-07-04,0.0028198260623638624
2020-07-05,0.0028190053364058006
2020-07-06,0.002816838456463017
2020-07-07,0.0028023623190127226
2020-07-08,0.002825928871100443
2020-07-09,0.0027808502071264905
2020-07-10,0.002863457908515506
2020-07-11,0.0028626546472023152
2020-07-12,0.002861851385889124
2020-07-13,0.0029158321841392773
2020-07-14,0.002946453351906986
2020-07-15,0.0029695167252566826
2020-07-16,0.0030259278999652623
2020-07-17,0.0030006975345817804
2020-07-18,0.0029996558543365737
2020-07-19,0.002998614174091364
2020-07-20,0.0028990340709805105
2020-07-21,0.0028979389668082178
2020-07-22,0.0029085635769650277
2020-07-23,0.002895834336319072
2020-07-24,0.002882724209714591
2020-07-25,0.0028821568552136485
2020-07-26,0.002881589500712705
2020-07-27,0.002959180204823342
2020-07-28,0.002924800600909251
2020-07-29,0.0029288357120160645
2020-07-30,0.002907533126979539
2020-07-31,0.0029324126704410856
2020-08-01,0.0029314133260593227
2020-08-02,0.0029304139816775593
2020-08-03,0.002991614211165831
2020-08-04,0.002961514050990057
2020-08-05,0.0029793597266955492
2020-08-06,0.002967706843112587
2020-08-07,0.002998329589583455
2020-08-08,0.002997249585461313
2020-08-09,0.0029961695813391677
2020-08-10,0.003017358942579572
2020-08-11,0.0030409114758228164
2020-08-12,0.0030604882811676175
2020-08-13,0.0030517430028884126
2020-08-14,0.003066806260564036
2020-08-15,0.0030656824958735975
2020-08-16,0.003064558731183163
2020-08-17,0.0030408910173382797
2020-08-18,0.0029746870443956553
2020-08-19,0.0030020515135744446
2020-08-20,0.002963704958990988
2020-08-21,0.0029532720107278724
2020-08-22,0.0029524270038273287
2020-08-23,0.002951581996926786
2020-08-24,0.0029557678969607663
2020-08-25,0.0029373137213414965
2020-08-26,0.0029367549945631785
2020-08-27,0.0029694171187057174
2020-08-28,0.0029390855905040624
2020-08-29,0.002938539528107616
2020-08-30,0.00293799346571117
2020-08-31,0.0029556520652333513
2020-09-01,0.0029234614787726123
2020-09-02,0.0029262547816366388
2020-09-03,0.002933569739213346
2020-09-04,0.0029499826874254333
2020-09-05,0.0029493133420416427
2020-09-06,0.0029486439966578543
2020-09-07,0.002947974651274065
2020-09-08,0.0028932426873395614
2020-09-09,0.002906410527145628
2020-09-10,0.0029016411689995565
2020-09-11,0.002900749590032954
2020-09-12,0.002900054775283251
2020-09-13,0.0028993599605335475
2020-09-14,0.0029412909300689525
2020-09-15,0.0028941021786101796
2020-09-16,0.0028831655737811338
2020-09-17,0.0028660459857488955
2020-09-18,0.0029048120381563354
2020-09-19,0.0029040806280391292
2020-09-20,0.002903349217921924
2020-09-21,0.0028782887167624113
2020-09-22,0.002840932565248414
2020-09-23,0.002802610253797506
2020-09-24,0.002833951212149159
2020-09-25,0.0027973427706154343
2020-09-26,0.002796667501133064
2020-09-27,0.0027959922316506958
2020-09-28,0.0028492375597571748
2020-09-29,0.0027868727802871376
2020-09-30,0.002774591525435336
2020-10-01,0.002659626621261393
2020-10-02,0.002675954075453521
2020-10-03,0.002675658502084702
2020-10-04,0.002675362928715881
2020-10-05,0.0026550887705368903
2020-10-06,0.002605576698873335
2020-10-07,0.0025910884606180056
2020-10-08,0.0025579861076875043
2020-10-09,0.00250281236089222
2020-10-10,0.0025030306287522593
2020-10-11,0.0025032488966123013
2020-10-12,0.0025301637702115974
