Date,GS - HDB Accumulated Oriented Area
2020-02-15,-0.0002135251767971591
2020-02-16,-0.00021342551194311306
2020-02-17,-0.00021332584708906696
2020-02-18,-0.00020126120842877554
2020-02-19,-0.00022047211380456618
2020-02-20,-0.00021980493129451778
2020-02-21,-0.00022456748166210138
2020-02-22,-0.0002245316205913477
2020-02-23,-0.00022449575952059254
2020-02-24,-0.0002308844426142849
2020-02-25,-0.0002353725236357119
2020-02-26,-0.00023708353336886892
2020-02-27,-0.00023890224674984428
2020-02-28,-0.00024012789818459026
2020-02-29,-0.00024009989480705183
2020-03-01,-0.00024007189142951306
2020-03-02,-0.00023365387711511506
2020-03-03,-0.00023786909810671512
2020-03-04,-0.00022387744213488565
2020-03-05,-0.0002473389949900699
2020-03-06,-0.0002722489223134216
2020-03-07,-0.00027249973148562895
2020-03-08,-0.00027275054065783723
2020-03-09,-0.0003245670559812806
2020-03-10,-0.00030398568541313076
2020-03-11,-0.000305306364436986
2020-03-12,-0.00032914508513701553
2020-03-13,-0.00017271044143294704
2020-03-14,-0.00017321607057790446
2020-03-15,-0.00017372169972286185
2020-03-16,-0.00021073504109107266
2020-03-17,-0.0004263834483654123
2020-03-18,-0.00025855615081429135
2020-03-19,0.000568813485399119
2020-03-20,0.00025085972583249803
2020-03-21,0.000249246939197351
2020-03-22,0.0002476341525622074
2020-03-23,0.0009936288677320428
2020-03-24,0.0014136987651536014
2020-03-25,0.0010427606606502218
2020-03-26,0.0009630873657440057
2020-03-27,0.0009381842349510908
2020-03-28,0.000936838298194196
2020-03-29,0.0009354923614372982
2020-03-30,0.001014613984353349
2020-03-31,0.0009048318633482929
2020-04-01,0.0008761443661761607
2020-04-02,0.0008511202346063183
2020-04-03,0.0010935513507887903
2020-04-04,0.0010916484196790703
2020-04-05,0.001089745488569356
2020-04-06,0.0012120711878742872
2020-04-07,0.001432495114049782
2020-04-08,0.0015934251076948473
2020-04-09,0.0016559625337562733
2020-04-10,0.0016545399917226727
2020-04-11,0.0016531174496890709
2020-04-12,0.0016516949076554738
2020-04-13,0.001596482969299233
2020-04-14,0.0015050913913542572
2020-04-15,0.0016382185244067605
2020-04-16,0.0016502526575883335
2020-04-17,0.0016816728318339155
2020-04-18,0.0016801520288857266
2020-04-19,0.0016786312259375394
2020-04-20,0.0015480966459241624
2020-04-21,0.0015392699605144499
2020-04-22,0.0014780349800686912
2020-04-23,0.0014517326933263966
2020-04-24,0.0015452699924155288
2020-04-25,0.0015438111837160584
2020-04-26,0.0015423523750165869
2020-04-27,0.0016458824269270885
2020-04-28,0.0017024546364999946
2020-04-29,0.0016033323075738731
2020-04-30,0.001564296502194405
2020-05-01,0.0015148196571991193
2020-05-02,0.001513643153547521
2020-05-03,0.0015124666498959173
2020-05-04,0.0015691412515694307
2020-05-05,0.0016115221529097404
2020-05-06,0.0015827331649572538
2020-05-07,0.0017166761419896807
2020-05-08,0.0017649803646860155
2020-05-09,0.0017635242484211136
2020-05-10,0.001762068132156208
2020-05-11,0.0018100894037162045
2020-05-12,0.0015730213567828073
2020-05-13,0.001597544537726021
2020-05-14,0.001692769586352612
2020-05-15,0.001700830967580235
2020-05-16,0.0016989279574778039
2020-05-17,0.0016970249473753742
2020-05-18,0.0019710427474679084
2020-05-19,0.0018950042613401583
2020-05-20,0.0018763150280695588
2020-05-21,0.0018726466371228856
2020-05-22,0.0018948820594995386
2020-05-23,0.0018929380804258468
2020-05-24,0.001890994101352153
2020-05-25,0.0018890501222784655
2020-05-26,0.0022564267514779243
2020-05-27,0.0024637775411775116
2020-05-28,0.002307165589897231
2020-05-29,0.002202841124970455
2020-05-30,0.0022014431768900915
2020-05-31,0.002200045228809728
2020-06-01,0.0022378589265809688
2020-06-02,0.0022534790012664297
2020-06-03,0.002308624808423064
2020-06-04,0.00236062629156033
2020-06-05,0.0023838917250024725
2020-06-06,0.002383007342637953
2020-06-07,0.0023821229602734354
2020-06-08,0.002409736884263384
2020-06-09,0.0023764706069806943
2020-06-10,0.002314474631144579
2020-06-11,0.00205576131707838
2020-06-12,0.002143322822974834
2020-06-13,0.0021419413660152455
2020-06-14,0.0021405599090556587
2020-06-15,0.0022257768047220963
2020-06-16,0.002261898504117137
2020-06-17,0.002208146164437342
2020-06-18,0.002151524853484107
2020-06-19,0.0020989005200868775
2020-06-20,0.0020978136351710785
2020-06-21,0.002096726750255283
2020-06-22,0.0021186742042601505
2020-06-23,0.0021202813440346323
2020-06-24,0.0020615992800939813
2020-06-25,0.0021438571742480443
2020-06-26,0.001931008898527241
2020-06-27,0.001930084592797068
2020-06-28,0.0019291602870668912
2020-06-29,0.0019648436485711985
2020-06-30,0.0020217505323754455
2020-07-01,0.0019491971263731532
2020-07-02,0.0019516914289771895
2020-07-03,0.0019510017328659957
2020-07-04,0.001950312036754805
2020-07-05,0.0019496223406436123
2020-07-06,0.0020141323523734894
2020-07-07,0.0019622492851348694
2020-07-08,0.0019701949714492854
2020-07-09,0.001924231066977396
2020-07-10,0.002004635028262895
2020-07-11,0.002003943385836085
2020-07-12,0.0020032517434092744
2020-07-13,0.002058663028906742
2020-07-14,0.0021214693375440925
2020-07-15,0.0021469994110635306
2020-07-16,0.002125147141747661
2020-07-17,0.0020810884756035895
2020-07-18,0.002080220990366491
2020-07-19,0.002079353505129391
2020-07-20,0.00202481331676555
2020-07-21,0.0020192247222153084
2020-07-22,0.002015026200734762
2020-07-23,0.0019933732298144636
2020-07-24,0.0019798258973634823
2020-07-25,0.0019793742227520827
2020-07-26,0.001978922548140683
2020-07-27,0.0020323971055147697
2020-07-28,0.0020205721796989315
2020-07-29,0.002023050091243417
2020-07-30,0.002025474689607938
2020-07-31,0.0020316412085665115
2020-08-01,0.002030830897129211
2020-08-02,0.002030020585691912
2020-08-03,0.002077422714775681
2020-08-04,0.002087432380925324
2020-08-05,0.0021171007746265506
2020-08-06,0.0021155689628229
2020-08-07,0.0021550800588594054
2020-08-08,0.0021541530342290057
2020-08-09,0.0021532260095986056
2020-08-10,0.0021725375662697047
2020-08-11,0.0021735543671015144
2020-08-12,0.0021818241340164427
2020-08-13,0.002142549709852565
2020-08-14,0.0021471897511283174
2020-08-15,0.002146281554221
2020-08-16,0.0021453733573136855
2020-08-17,0.002107344583637592
2020-08-18,0.002037985742785624
2020-08-19,0.0020658713610952214
2020-08-20,0.0020380759032322315
2020-08-21,0.0020237758860486687
2020-08-22,0.002023112928811892
2020-08-23,0.0020224499715751154
2020-08-24,0.002030540984606875
2020-08-25,0.002011594600588665
2020-08-26,0.002028433252018892
2020-08-27,0.002056746465410218
2020-08-28,0.0020054943960495166
2020-08-29,0.002005077522104244
2020-08-30,0.002004660648158973
2020-08-31,0.002019260784563377
2020-09-01,0.001981661462236309
2020-09-02,0.001996510908903496
2020-09-03,0.0019995315498124774
2020-09-04,0.0020378447367446787
2020-09-05,0.002037294376218682
2020-09-06,0.0020367440156926846
2020-09-07,0.0020361936551666873
2020-09-08,0.001986346404728314
2020-09-09,0.0019726827650595915
2020-09-10,0.0019720793631267807
2020-09-11,0.0019773130065663786
2020-09-12,0.0019767663711188262
2020-09-13,0.0019762197356712713
2020-09-14,0.0019953568099382963
2020-09-15,0.0019434895262598227
2020-09-16,0.0019315828095990719
2020-09-17,0.0018959981254773074
2020-09-18,0.0019441575634454537
2020-09-19,0.001943628570706889
2020-09-20,0.001943099577968323
2020-09-21,0.001970795042113977
2020-09-22,0.0019379890163410969
2020-09-23,0.0018888477358870604
2020-09-24,0.0020059118352647246
2020-09-25,0.0019632959679869518
2020-09-26,0.00196272628124241
2020-09-27,0.00196215659449787
2020-09-28,0.0020046104947735424
2020-09-29,0.0019670325429250826
2020-09-30,0.001966410718558692
2020-10-01,0.0018880640570165287
2020-10-02,0.0018960094732927387
2020-10-03,0.0018957329224602382
2020-10-04,0.0018954563716277364
2020-10-05,0.0018813908995718503
2020-10-06,0.0018540256190364677
2020-10-07,0.0018437200138479632
2020-10-08,0.0018331011944418586
2020-10-09,0.001800209165134482
2020-10-10,0.001800310924627436
2020-10-11,0.0018004126841203913
2020-10-12,0.001818645049739692
2020-10-13,0.0018143176593832168
2020-10-14,0.0018005363862937673
2020-10-15,0.0018188632351580406
2020-10-16,0.0018003391296448434
2020-10-17,0.0018004312478727977
2020-10-18,0.001800523366100751
2020-10-19,0.001764303171569201
2020-10-20,0.0017264051971195486
2020-10-21,0.001714228569263348
2020-10-22,0.001702360152618128
2020-10-23,0.0016952148972247155
2020-10-24,0.0016957224715040777
2020-10-25,0.0016962300457834393
2020-10-26,0.0017312867056786124
2020-10-27,0.0017293283233599114
2020-10-28,0.0017918495504002092
2020-10-29,0.001833222891175875
2020-10-30,0.0018405675293943693
2020-10-31,0.0018409530714103067
2020-11-01,0.0018413386134262463
2020-11-02,0.0017723774082528997
2020-11-03,0.0017148969078619937
2020-11-04,0.0016730820512287858
2020-11-05,0.0016253878263953953
2020-11-06,0.0016032107373118573
2020-11-07,0.0016040215864231238
2020-11-08,0.0016048324355343877
2020-11-09,0.0014378997749711813
2020-11-10,0.0014096471149442713
2020-11-11,0.0014175779526540639
2020-11-12,0.0014442846524392828
2020-11-13,0.0013877411926488978
2020-11-14,0.0013887675692517206
2020-11-15,0.0013897939458545456
2020-11-16,0.0013518611501366464
2020-11-17,0.0013325991801479819
2020-11-18,0.0013504564436796714
2020-11-19,0.0013543588735312044
2020-11-20,0.0013654977404213727
2020-11-21,0.0013663752374842172
2020-11-22,0.0013672527345470638
2020-11-23,0.0013269553835672516
2020-11-24,0.001247030705379422
2020-11-25,0.0012568855235265256
2020-11-26,0.001257797158297151
2020-11-27,0.0012684143461932432
2020-11-28,0.001269303669060263
2020-11-29,0.0012701929919272843
2020-11-30,0.0013074171441804332
2020-12-01,0.0012883791628397587
2020-12-02,0.0012378897749048198
2020-12-03,0.0012599621862952888
2020-12-04,0.0012292509510537588
2020-12-05,0.0012300830873558403
2020-12-06,0.0012309152236579216
2020-12-07,0.0012401643697557089
2020-12-08,0.0012380834553459156
2020-12-09,0.0012095718345619248
2020-12-10,0.001198851784869181
2020-12-11,0.0012295914078051915
2020-12-12,0.001230360891151318
2020-12-13,0.0012311303744974448
2020-12-14,0.0012471313744114388
2020-12-15,0.0012133355279809626
2020-12-16,0.0012038544623924172
2020-12-17,0.001202341206990049
2020-12-18,0.0012249845188105548
2020-12-19,0.001226028064257287
2020-12-20,0.0012270716097040196
2020-12-21,0.0010906173259488676
2020-12-22,0.0011442789272283248
2020-12-23,0.0011009315891076592
2020-12-24,0.001109142509760719
2020-12-25,0.0011100161272557224
2020-12-26,0.0011108897447507263
2020-12-27,0.0011117633622457297
2020-12-28,0.0010950505145378333
2020-12-29,0.0011113423121607013
2020-12-30,0.0011133240629451915
2020-12-31,0.0010765587225997043
2021-01-01,0.0010775867520609573
2021-01-02,0.0010786147815222099
2021-01-03,0.0010796428109834614
2021-01-04,0.0010365893123582372
2021-01-05,0.0010122556959424407
2021-01-06,0.0008721250670046685
2021-01-07,0.0008559038599056046
2021-01-08,0.0008982657204982915
2021-01-09,0.000899170915472132
2021-01-10,0.0009000761104459703
2021-01-11,0.0008759529189138624
2021-01-12,0.0008490072383110535
