Date,UBS - C Accumulated Oriented Area
2021-12-04,0.00330983830796139
2021-12-05,0.0033117714896700266
2021-12-06,0.003249436278861103
2021-12-07,0.0031549843982076704
2021-12-08,0.0031604194034529323
2021-12-09,0.0032008062037407153
2021-12-10,0.0032326284397889756
2021-12-11,0.0032344289904977213
2021-12-12,0.0032362295412064644
2021-12-13,0.0032843440145616395
2021-12-14,0.003279920185353726
2021-12-15,0.003338315972683003
2021-12-16,0.003245940309646458
2021-12-17,0.0034083152312375615
2021-12-18,0.003409917724421227
2021-12-19,0.0034115202176048937
2021-12-20,0.0034899879150651126
2021-12-21,0.0034060170738730937
2021-12-22,0.00336670046182212
2021-12-23,0.003291497743445457
2021-12-24,0.0032932357762698577
2021-12-25,0.0032949738090942565
2021-12-26,0.003296711841918656
2021-12-27,0.003220017417800654
2021-12-28,0.003211036442564706
2021-12-29,0.0032339284893539424
2021-12-30,0.003271596495250214
2021-12-31,0.0032882843415508443
2022-01-01,0.003290048447656613
2022-01-02,0.0032918125537623817
2022-01-03,0.003170183457281348
2022-01-04,0.003008554427877337
2022-01-05,0.0030904624758795315
2022-01-06,0.0028758102981800036
2022-01-07,0.00276828044233194
2022-01-08,0.002770789275559105
2022-01-09,0.002773298108786275
2022-01-10,0.0028119455780911463
2022-01-11,0.002772146061850655
2022-01-12,0.0027025633218398454
2022-01-13,0.002705992611175157
2022-01-14,0.0026900617203343934
2022-01-15,0.0026927148004565185
2022-01-16,0.002695367880578646
2022-01-17,0.0026980209607007743
2022-01-18,0.002776462531285516
2022-01-19,0.0028518985446396626
2022-01-20,0.00285653394323476
2022-01-21,0.0029053609959890604
2022-01-22,0.00290758873572753
2022-01-23,0.002909816475466
2022-01-24,0.0030896089029864636
2022-01-25,0.003029974466595829
2022-01-26,0.0029636474054722285
2022-01-27,0.003097741825948096
2022-01-28,0.003089125181112699
2022-01-29,0.003091390325463331
2022-01-30,0.0030936554698139623
2022-01-31,0.003009891849563952
2022-02-01,0.002439417957632365
2022-02-02,0.0023970850516031295
2022-02-03,0.00244072744992109
2022-02-04,0.0024381018938197828
2022-02-05,0.0024407956605895583
2022-02-06,0.0024434894273593338
2022-02-07,0.0023850400108367783
2022-02-08,0.0022599709619980984
2022-02-09,0.0021907711582625994
2022-02-10,0.002226809252363653
2022-02-11,0.0023777810648708928
2022-02-12,0.002380613695148223
2022-02-13,0.0023834463254255533
2022-02-14,0.0024178247620051333
2022-02-15,0.0023842512635894597
2022-02-16,0.002458657076425852
2022-02-17,0.0025441339564168286
2022-02-18,0.0025527905688113844
2022-02-19,0.0025552703640950884
2022-02-20,0.002557750159378792
2022-02-21,0.0025602299546624956
2022-02-22,0.0027809032439589116
2022-02-23,0.00286733780020016
2022-02-24,0.0032825029270725347
2022-02-25,0.0029943749650679675
2022-02-26,0.0029964518736162117
2022-02-27,0.0029985287821644537
2022-02-28,0.003249879703742932
2022-03-01,0.003477364729693454
2022-03-02,0.003410855673929453
2022-03-03,0.003614089879868905
2022-03-04,0.003970879687149646
2022-03-05,0.00397190913312216
2022-03-06,0.003972938579094672
2022-03-07,0.00424830010292133
2022-03-08,0.004031513621256359
2022-03-09,0.0038036503399233967
2022-03-10,0.003915652897218477
2022-03-11,0.0039589516519729605
2022-03-12,0.0039598508005544205
2022-03-13,0.003960749949135882
2022-03-14,0.003873883073860356
2022-03-15,0.0038129350658117683
2022-03-16,0.003529847876041026
2022-03-17,0.0034612360293219176
2022-03-18,0.003390931286911202
2022-03-19,0.0033925077993342346
2022-03-20,0.003394084311757267
2022-03-21,0.0033686684590645767
2022-03-22,0.0032568194924777988
2022-03-23,0.0033399418568948198
2022-03-24,0.0032978696198314996
2022-03-25,0.003242109584093938
2022-03-26,0.0032437362629551686
2022-03-27,0.0032453629418163995
2022-03-28,0.0032862885348587294
2022-03-29,0.0031810983121285034
2022-03-30,0.00323635609360231
2022-03-31,0.0032346025545037854
2022-04-01,0.003217175966527171
2022-04-02,0.0032183737637171686
2022-04-03,0.003219571560907168
2022-04-04,0.0031749606620950256
2022-04-05,0.003352053864957832
2022-04-06,0.0034265254495232473
2022-04-07,0.003439009155980074
2022-04-08,0.003428016410729728
2022-04-09,0.003428867133931409
2022-04-10,0.0034297178571330903
2022-04-11,0.003458183614519252
2022-04-12,0.0035503392636520616
2022-04-13,0.003552126033935331
2022-04-14,0.0035608362940197594
2022-04-15,0.0035615421669888585
2022-04-16,0.003562248039957957
2022-04-17,0.003562953912927055
2022-04-18,0.003508726279815871
2022-04-19,0.0034386153723366193
2022-04-20,0.0034257454586189163
2022-04-21,0.0035246489631403323
2022-04-22,0.0036243720948418174
2022-04-23,0.0036250569707491206
2022-04-24,0.0036257418466564256
2022-04-25,0.0036209727843693035
2022-04-26,0.003747669959213511
2022-04-27,0.0037186162025807596
2022-04-28,0.0036959030241793746
2022-04-29,0.003851321888216374
2022-04-30,0.0038515685093987485
2022-05-01,0.0038518151305811225
2022-05-02,0.003817057113928253
2022-05-03,0.003682039030294437
2022-05-04,0.0035049148141983698
2022-05-05,0.0036657799817924764
2022-05-06,0.003659902502755225
2022-05-07,0.003660608479936833
2022-05-08,0.0036613144571184405
2022-05-09,0.0038745715054560198
2022-05-10,0.003881449219814543
