Date,UBS - PNC Accumulated Oriented Area
2020-05-26,0.0017294264379550913
2020-05-27,0.001502037812197266
2020-05-28,0.0015223292541482198
2020-05-29,0.0015879110639050863
2020-05-30,0.0015880554004442334
2020-05-31,0.001588199736983376
2020-06-01,0.0015871386961856038
2020-06-02,0.001618204348298825
2020-06-03,0.001508446178114101
2020-06-04,0.00141649578982234
2020-06-05,0.0012615021673648586
2020-06-06,0.0012620574870228613
2020-06-07,0.001262612806680864
2020-06-08,0.001179231646046207
2020-06-09,0.0013122807227291284
2020-06-10,0.0015220568973866246
2020-06-11,0.0018327547162277314
2020-06-12,0.0017316905684337978
2020-06-13,0.0017316451100766652
2020-06-14,0.0017315996517195283
2020-06-15,0.0016512880879768323
2020-06-16,0.0015990559771507766
2020-06-17,0.0017150883647461665
2020-06-18,0.0017614730726945404
2020-06-19,0.0018120369379988274
2020-06-20,0.0018118832936642856
2020-06-21,0.0018117296493297438
2020-06-22,0.001850563378725168
2020-06-23,0.0019277477563514488
2020-06-24,0.0020348669055400225
2020-06-25,0.0020196650375594585
2020-06-26,0.0021948199365233096
2020-06-27,0.002194220268468837
2020-06-28,0.002193620600414367
2020-06-29,0.00216027558776135
2020-06-30,0.0021088068915700417
2020-07-01,0.0021668388519613074
2020-07-02,0.0022588690385760115
2020-07-03,0.0022582476088935507
2020-07-04,0.0022576261792110848
2020-07-05,0.0022570047495286192
2020-07-06,0.0022880981127372333
2020-07-07,0.0023574348877535367
2020-07-08,0.0023885845350513166
2020-07-09,0.002375338416259834
2020-07-10,0.002349697410852615
2020-07-11,0.0023489944554780555
2020-07-12,0.0023482915001034983
2020-07-13,0.0022733434398419924
2020-07-14,0.002420323981163615
2020-07-15,0.002303117846374821
2020-07-16,0.002272209915258657
2020-07-17,0.002336970588479981
2020-07-18,0.002336313871929319
2020-07-19,0.002335657155378656
2020-07-20,0.0023246058844684932
2020-07-21,0.002240104388873331
2020-07-22,0.0022821482993630707
2020-07-23,0.002216491390566714
2020-07-24,0.0022339979194080897
2020-07-25,0.0022335127075857877
2020-07-26,0.002233027495763486
2020-07-27,0.0023225982012479735
2020-07-28,0.0022719279441679938
2020-07-29,0.0021119772775897924
2020-07-30,0.0021523760262368774
2020-07-31,0.002123161919585009
2020-08-01,0.002122760704497589
2020-08-02,0.002122359489410166
2020-08-03,0.0021866617741979483
2020-08-04,0.002247027341424112
2020-08-05,0.002253360389485676
2020-08-06,0.002244623312901315
2020-08-07,0.002150012214126748
2020-08-08,0.002149661197169927
2020-08-09,0.0021493101802131055
2020-08-10,0.002167646529365991
2020-08-11,0.002090218950589753
2020-08-12,0.0021367798480990802
2020-08-13,0.0021454989564030154
2020-08-14,0.0021093553075086507
2020-08-15,0.0021090752789949337
2020-08-16,0.0021087952504812127
2020-08-17,0.0021441269494799084
2020-08-18,0.0022163606810863584
2020-08-19,0.00224103565205421
2020-08-20,0.0022230975046422944
2020-08-21,0.002209805802560368
2020-08-22,0.0022093274921328194
2020-08-23,0.0022088491817052716
2020-08-24,0.002149297330833347
2020-08-25,0.002110916501195682
2020-08-26,0.002152867511219042
2020-08-27,0.0020700624302668878
2020-08-28,0.002086198180571288
2020-08-29,0.002085940642607802
2020-08-30,0.002085683104644319
