Date,UBS - IBN Accumulated Oriented Area
2020-01-12,-0.0006346480453972337
2020-01-13,-0.0006585935424488166
2020-01-14,-0.0006617697005739198
2020-01-15,-0.0006419337378923693
2020-01-16,-0.0006608514333993394
2020-01-17,-0.0006364202007520541
2020-01-18,-0.000634608092359378
2020-01-19,-0.0006327959839667011
2020-01-20,-0.0006309838755740243
2020-01-21,-0.0005022616559314053
2020-01-22,-0.0005250745610659644
2020-01-23,-0.0005330994494600399
2020-01-24,-0.0005092880243830454
2020-01-25,-0.0005072277842480061
2020-01-26,-0.0005051675441129659
2020-01-27,-0.0004939738709660165
2020-01-28,-0.0005022326156469001
2020-01-29,-0.0004892240860048016
2020-01-30,-0.0004950736221861493
2020-01-31,-0.0004355672070035299
2020-02-01,-0.0004333449958052593
2020-02-02,-0.0004311227846069867
2020-02-03,-0.00039472832173119204
2020-02-04,-0.0004861535251801431
2020-02-05,-0.0005719062138576226
2020-02-06,-0.0005879674104161031
2020-02-07,-0.0005858101036458729
2020-02-08,-0.0005838362518688227
2020-02-09,-0.0005818624000917725
2020-02-10,-0.0006089640137253011
2020-02-11,-0.0006510476855479466
2020-02-12,-0.0007062973195219841
2020-02-13,-0.0006420371746741082
2020-02-14,-0.0006246656132467949
2020-02-15,-0.0006227432211800515
2020-02-16,-0.0006208208291133072
2020-02-17,-0.0006188984370465648
2020-02-18,-0.0006178709209582033
2020-02-19,-0.000628796138839106
2020-02-20,-0.0006476658031676066
2020-02-21,-0.0005757871919759191
2020-02-22,-0.0005737602721027477
2020-02-23,-0.0005717333522295753
2020-02-24,-0.0003576502814633031
2020-02-25,-0.0003087108005558717
2020-02-26,-0.00030628240601686114
2020-02-27,-0.00014814846350361252
2020-02-28,-5.359392759178496e-05
2020-02-29,-5.065625794480611e-05
2020-03-01,-4.771858829782509e-05
2020-03-02,-0.00014496005056001003
2020-03-03,-4.845440983633519e-05
2020-03-04,6.060115129268682e-05
2020-03-05,0.0002684944578198144
2020-03-06,0.00032770602172102584
2020-03-07,0.00033063302431914586
2020-03-08,0.0003335600269172687
2020-03-09,0.0007101097182980799
2020-03-10,0.0005261040532416111
2020-03-11,0.0007279242548774811
2020-03-12,0.0015043191506504898
2020-03-13,0.0010545960770258528
2020-03-14,0.0010579788927451025
2020-03-15,0.0010613617084643547
2020-03-16,0.0014462941418201267
2020-03-17,0.0021498765639176303
2020-03-18,0.002799272806672324
2020-03-19,0.004393682970721911
2020-03-20,0.00405149967506537
2020-03-21,0.004053602793863595
2020-03-22,0.004055705912661824
2020-03-23,0.0052506930026737135
2020-03-24,0.0062333660665810885
2020-03-25,0.005597203779159118
2020-03-26,0.005339392077581178
2020-03-27,0.005190514932625558
2020-03-28,0.005191868803589498
2020-03-29,0.005193222674553442
2020-03-30,0.005500299767557435
2020-03-31,0.005217106308190962
2020-04-01,0.0056722026588078844
2020-04-02,0.005611264972667217
2020-04-03,0.006153749967403675
2020-04-04,0.006154496095720932
2020-04-05,0.0061552422240381864
2020-04-06,0.00604213800030055
2020-04-07,0.005828895283078238
2020-04-08,0.005540361449659524
2020-04-09,0.005548366791412676
2020-04-10,0.00554939642202122
2020-04-11,0.0055504260526297675
2020-04-12,0.005551455683238314
2020-04-13,0.005432569062607083
2020-04-14,0.005453366764221294
2020-04-15,0.005488479296686634
2020-04-16,0.005140528275368745
2020-04-17,0.004813902255356072
2020-04-18,0.004815630597138257
2020-04-19,0.004817358938920438
2020-04-20,0.005082622091097375
2020-04-21,0.005408339626397651
2020-04-22,0.0049154454588652115
2020-04-23,0.004953081304088518
2020-04-24,0.005289755524913319
2020-04-25,0.005291135401638586
2020-04-26,0.005292515278363845
2020-04-27,0.005134975546362943
2020-04-28,0.005454366613253979
2020-04-29,0.005279595880855999
2020-04-30,0.005377788397115056
2020-05-01,0.005421886395066088
2020-05-02,0.005422843431374813
2020-05-03,0.0054238004676835355
2020-05-04,0.005555320572212977
2020-05-05,0.005301935131073958
2020-05-06,0.0053091441994007026
2020-05-07,0.005391075694255089
2020-05-08,0.005370971265391675
2020-05-09,0.005372074710377259
2020-05-10,0.005373178155362838
2020-05-11,0.0057651375479850706
2020-05-12,0.005089703332033072
2020-05-13,0.00519386467272199
2020-05-14,0.005177948660284861
2020-05-15,0.005328961204456994
2020-05-16,0.0053302911540599835
2020-05-17,0.005331621103662969
2020-05-18,0.006161131378171098
2020-05-19,0.006325596180805267
2020-05-20,0.006295109004102773
2020-05-21,0.0063940738186306825
2020-05-22,0.006407409786682045
2020-05-23,0.006407679322787285
2020-05-24,0.0064079488588925215
2020-05-25,0.006408218394997762
2020-05-26,0.006802485280670815
2020-05-27,0.006718480315883518
2020-05-28,0.006673197083948569
2020-05-29,0.00649041362966893
2020-05-30,0.006490651192000289
2020-05-31,0.006490888754331644
2020-06-01,0.006457130740935372
2020-06-02,0.006244731119778807
2020-06-03,0.006375053576697976
2020-06-04,0.006603341101904147
2020-06-05,0.0064127224040855055
2020-06-06,0.006412937562168335
2020-06-07,0.006413152720251164
2020-06-08,0.006589714785368827
2020-06-09,0.006670406936842476
2020-06-10,0.006478419354763408
2020-06-11,0.006385537791926794
2020-06-12,0.006300178889364717
2020-06-13,0.006300483905591235
2020-06-14,0.006300788921817749
2020-06-15,0.006396400869415017
2020-06-16,0.006470437868320381
2020-06-17,0.00643290330138687
2020-06-18,0.0062923287906186875
2020-06-19,0.006002571540147683
2020-06-20,0.006003246291914436
2020-06-21,0.006003921043681186
2020-06-22,0.006046403323842983
2020-06-23,0.006027544587851132
2020-06-24,0.006252831044883934
2020-06-25,0.0063909764536672995
2020-06-26,0.006465060543445511
2020-06-27,0.006465130376449674
2020-06-28,0.006465200209453838
2020-06-29,0.006525394900045089
2020-06-30,0.00653038117034519
2020-07-01,0.006297564274298728
2020-07-02,0.006410816463851311
2020-07-03,0.006410948085428826
2020-07-04,0.0064110797070063355
2020-07-05,0.006411211328583848
2020-07-06,0.006480707594998112
2020-07-07,0.006318581590261755
2020-07-08,0.006405717622370639
2020-07-09,0.006375022236654929
2020-07-10,0.006517240318615421
2020-07-11,0.006517222136845392
2020-07-12,0.006517203955075362
2020-07-13,0.006581820808348113
2020-07-14,0.006831846310515203
2020-07-15,0.006750978366361012
2020-07-16,0.006808667151309609
2020-07-17,0.006745688329152084
2020-07-18,0.006745356504706322
2020-07-19,0.006745024680260562
2020-07-20,0.006449551540823436
2020-07-21,0.006344752514048739
2020-07-22,0.0064383402108398324
2020-07-23,0.0063740392781953415
2020-07-24,0.006406278658058018
2020-07-25,0.006406439055066519
2020-07-26,0.0064065994520750204
2020-07-27,0.0066382461218242195
2020-07-28,0.006647586277982045
2020-07-29,0.006593526601956513
2020-07-30,0.006559214745331715
2020-07-31,0.006503945364780346
2020-08-01,0.006503895166276726
2020-08-02,0.006503844967773108
2020-08-03,0.006642620730713101
2020-08-04,0.006696615801852577
2020-08-05,0.006763909539982961
2020-08-06,0.006723958853730374
2020-08-07,0.006697229837249867
