Date,IBKR - HDB Accumulated Oriented Area
2020-02-25,0.0005915166091110232
2020-02-26,0.0006002394316813641
2020-02-27,0.00061612299751757
2020-02-28,0.0006218237618915254
2020-02-29,0.0006221884838687033
2020-03-01,0.0006225532058458836
2020-03-02,0.0006406847922824606
2020-03-03,0.0006620039465663331
2020-03-04,0.0006874769058545593
2020-03-05,0.0007365369257162347
2020-03-06,0.0007377298765167606
2020-03-07,0.0007379225057112544
2020-03-08,0.0007381151349057447
2020-03-09,0.0007977632413947437
2020-03-10,0.0007570790557588917
2020-03-11,0.0008865822998647276
2020-03-12,0.0011020355484899344
2020-03-13,0.0009346655748455066
2020-03-14,0.0009346853687529539
2020-03-15,0.0009347051626604001
2020-03-16,0.0011976157018991334
2020-03-17,0.0009346904732874593
2020-03-18,0.0013345710694567716
2020-03-19,0.0024870785133212538
2020-03-20,0.002139917096881465
2020-03-21,0.002138892814155767
2020-03-22,0.002137868531430077
2020-03-23,0.0029425028549402
2020-03-24,0.0034593830162514255
2020-03-25,0.0032602553043954005
2020-03-26,0.0026526388047348613
2020-03-27,0.002724860989019551
2020-03-28,0.002724090131122555
2020-03-29,0.002723319273225556
2020-03-30,0.0029007767538544787
2020-03-31,0.003064445659086435
2020-04-01,0.0034136626755725567
2020-04-02,0.003370274505754306
2020-04-03,0.0035381999645309027
2020-04-04,0.0035367400557235838
2020-04-05,0.003535280146916266
2020-04-06,0.0035815174425985422
2020-04-07,0.0033966942251737542
2020-04-08,0.003320799426687752
2020-04-09,0.0031345586608790502
2020-04-10,0.0031337474631752057
2020-04-11,0.003132936265471359
2020-04-12,0.0031321250677675146
2020-04-13,0.003150446052816499
2020-04-14,0.0030783801638783045
2020-04-15,0.003299729963126047
2020-04-16,0.0035050159773219068
2020-04-17,0.003288115635526373
2020-04-18,0.0032871895894966722
2020-04-19,0.003286263543466965
2020-04-20,0.002959904739224202
2020-04-21,0.003140044287414604
2020-04-22,0.002407655555945854
2020-04-23,0.0023694885507001334
2020-04-24,0.002456091912509709
2020-04-25,0.0024555591073246357
2020-04-26,0.002455026302139571
2020-04-27,0.0025306838453856796
2020-04-28,0.002418179571445342
2020-04-29,0.0020228477358241927
2020-04-30,0.0021823409997450698
2020-05-01,0.0023657582637809614
2020-05-02,0.002365341414218008
2020-05-03,0.0023649245646550515
2020-05-04,0.0025287069527903023
2020-05-05,0.002480567104957458
2020-05-06,0.002472778851706233
2020-05-07,0.002576151610755576
2020-05-08,0.002609341614224815
2020-05-09,0.002608742133673559
2020-05-10,0.002608142653122303
2020-05-11,0.002826570096400111
2020-05-12,0.0022919300662129667
2020-05-13,0.002538655229618205
2020-05-14,0.002703284773837347
2020-05-15,0.0028664344269442284
2020-05-16,0.0028655388524919207
2020-05-17,0.0028646432780396196
2020-05-18,0.0031539364245394886
2020-05-19,0.0031742917082290233
2020-05-20,0.002925840397090046
2020-05-21,0.002996382241522542
2020-05-22,0.003065129899078966
2020-05-23,0.003064176590632457
2020-05-24,0.003063223282185938
2020-05-25,0.0030622699737394296
2020-05-26,0.003162243732591245
2020-05-27,0.0030461396494903636
2020-05-28,0.0029386937340026955
2020-05-29,0.002783323145319226
2020-05-30,0.0027828028298821084
2020-05-31,0.002782282514444989
2020-06-01,0.0027220225178952923
2020-06-02,0.0024660276222263156
2020-06-03,0.002359127459378624
2020-06-04,0.0024104293061875436
2020-06-05,0.002148659694879586
2020-06-06,0.002148706735536474
2020-06-07,0.002148753776193368
2020-06-08,0.0024452946842923387
2020-06-09,0.0026007880670482746
2020-06-10,0.0024753492300543848
2020-06-11,0.0027872332783891035
2020-06-12,0.0025772932951518604
2020-06-13,0.002576874662458689
2020-06-14,0.0025764560297655116
2020-06-15,0.002748203524203812
2020-06-16,0.002699533602519383
2020-06-17,0.002617411808136608
2020-06-18,0.0024682173891529503
2020-06-19,0.002273922645164376
2020-06-20,0.002273765930652435
2020-06-21,0.002273609216140499
2020-06-22,0.0022470215164226972
2020-06-23,0.002205115395993099
2020-06-24,0.002306543379890228
2020-06-25,0.0021700971157825708
2020-06-26,0.0021146071912283215
2020-06-27,0.00211456791400696
2020-06-28,0.002114528636785595
2020-06-29,0.0021245641042015096
2020-06-30,0.002179974923546138
2020-07-01,0.001887899146334557
2020-07-02,0.001952365736555029
2020-07-03,0.0019524528339761116
2020-07-04,0.0019525399313972016
2020-07-05,0.0019526270288182913
2020-07-06,0.001938566385233347
2020-07-07,0.0021199001701777158
2020-07-08,0.002145726521745427
2020-07-09,0.002158955270166934
2020-07-10,0.0021891364760186025
2020-07-11,0.002188978805514682
2020-07-12,0.0021888211350107652
2020-07-13,0.00231517368965699
2020-07-14,0.0024518769775996405
2020-07-15,0.002543315497612999
2020-07-16,0.002489550940561639
2020-07-17,0.002403904905760528
2020-07-18,0.0024035376126237463
2020-07-19,0.0024031703194869617
2020-07-20,0.0021307477713644763
2020-07-21,0.002093466489554937
2020-07-22,0.002221868414032592
2020-07-23,0.0021637042157375023
2020-07-24,0.002135153066320142
2020-07-25,0.002135171302310859
