Date,UBS - HDB Accumulated Oriented Area
2020-08-24,0.004063168618209432
2020-08-25,0.004023154996224553
2020-08-26,0.004080675663550032
2020-08-27,0.004090155171225544
2020-08-28,0.003960383525783884
2020-08-29,0.003960328281242742
2020-08-30,0.0039602730367015995
2020-08-31,0.004053823270465477
2020-09-01,0.0039126434935731055
2020-09-02,0.0039041807725751824
2020-09-03,0.00394849367847782
2020-09-04,0.004026276701692377
2020-09-05,0.004026108775220407
2020-09-06,0.004025940848748443
2020-09-07,0.004025772922276478
2020-09-08,0.004033334774331322
2020-09-09,0.004054646780653665
2020-09-10,0.00408507695137857
2020-09-11,0.004087251625823405
2020-09-12,0.00408699136493932
2020-09-13,0.004086731104055231
2020-09-14,0.004184727892362563
2020-09-15,0.004081121181195175
2020-09-16,0.00400705432445974
2020-09-17,0.004013459027689432
2020-09-18,0.004082460009242333
2020-09-19,0.00408220091884727
2020-09-20,0.004081941828452207
2020-09-21,0.004027726433661329
2020-09-22,0.003971060348415785
2020-09-23,0.003914032361902139
2020-09-24,0.003938692555266049
2020-09-25,0.003726705961622374
2020-09-26,0.0037267425971045003
2020-09-27,0.003726779232586633
2020-09-28,0.0038781853985824155
2020-09-29,0.0038100468431339777
2020-09-30,0.0037151488894557987
2020-10-01,0.0035112739510699646
2020-10-02,0.003530189563948397
2020-10-03,0.003530439341632042
2020-10-04,0.0035306891193156815
2020-10-05,0.0034801850785655744
2020-10-06,0.0034014492206316657
2020-10-07,0.0033513020424309433
2020-10-08,0.003266994334976352
2020-10-09,0.003131603236532052
2020-10-10,0.0031323157867499786
2020-10-11,0.0031330283369679105
2020-10-12,0.0031829428527843564
2020-10-13,0.003180695843823419
2020-10-14,0.00310780104617789
2020-10-15,0.0032091547391432107
2020-10-16,0.0031565907411418154
2020-10-17,0.0031572887410152638
2020-10-18,0.0031579867408887082
2020-10-19,0.0030266269904491183
2020-10-20,0.002889162855803718
2020-10-21,0.0028283116011327035
2020-10-22,0.0027984842778095457
2020-10-23,0.002774419731554483
2020-10-24,0.002775431360930777
2020-10-25,0.0027764429903070708
2020-10-26,0.0028483747732621456
2020-10-27,0.0028289975441659894
2020-10-28,0.002969770456537929
2020-10-29,0.003064872653461564
2020-10-30,0.0030811385792761754
2020-10-31,0.0030819862517969974
2020-11-01,0.0030828339243178246
2020-11-02,0.002932382762268718
2020-11-03,0.002809201679424033
2020-11-04,0.0027317641790174166
2020-11-05,0.0026347885068987815
2020-11-06,0.002560927597584564
2020-11-07,0.0025621398543623952
2020-11-08,0.002563352111140224
2020-11-09,0.0023175817541969826
2020-11-10,0.0022657211436074728
2020-11-11,0.002309986809529942
2020-11-12,0.0023377364069383645
2020-11-13,0.0022399859959514675
2020-11-14,0.0022415244180297982
2020-11-15,0.0022430628401081294
2020-11-16,0.0020948268389259016
2020-11-17,0.002049427870283614
2020-11-18,0.0021475951753836867
2020-11-19,0.002129677273099607
2020-11-20,0.0021430048698722858
2020-11-21,0.0021442701352450797
2020-11-22,0.0021455354006178766
2020-11-23,0.002120571156277791
2020-11-24,0.001999707276660035
2020-11-25,0.002067328196557583
2020-11-26,0.0020687233714408878
2020-11-27,0.0020947920033283656
2020-11-28,0.002096162134711518
2020-11-29,0.0020975322660946685
2020-11-30,0.0021381411764959395
2020-12-01,0.0020205978312015445
2020-12-02,0.0020288878400633154
2020-12-03,0.002091652131242097
2020-12-04,0.002121280296270196
2020-12-05,0.0021226390067318607
2020-12-06,0.0021239977171935275
2020-12-07,0.0021258055444599634
2020-12-08,0.00213240378933404
2020-12-09,0.0021296250474427364
2020-12-10,0.0021797848564112507
2020-12-11,0.002244914546570964
2020-12-12,0.0022462876433011767
2020-12-13,0.0022476607400313863
2020-12-14,0.0022593004294588475
2020-12-15,0.002107854529184526
2020-12-16,0.0021142494052439594
2020-12-17,0.002091628458916926
2020-12-18,0.0021011850527243086
2020-12-19,0.0021028885983348316
2020-12-20,0.002104592143945355
2020-12-21,0.0022507013455577646
2020-12-22,0.0022727744894844217
2020-12-23,0.0021570778729128417
2020-12-24,0.0021497981993956294
2020-12-25,0.0021514173252249603
2020-12-26,0.002153036451054289
2020-12-27,0.002154655576883619
2020-12-28,0.0021116356166103237
2020-12-29,0.002101666994056157
2020-12-30,0.002064645862967946
2020-12-31,0.002038536158210502
2021-01-01,0.002040392802675201
2021-01-02,0.002042249447139899
2021-01-03,0.0020441060916045954
2021-01-04,0.002094859412100348
2021-01-05,0.0019711378411437263
2021-01-06,0.0018841354064488298
2021-01-07,0.001763604964361803
2021-01-08,0.0018055098294937793
2021-01-09,0.0018072239300819476
2021-01-10,0.0018089380306701166
2021-01-11,0.0018186741544662845
2021-01-12,0.0017531149111406543
2021-01-13,0.0018060315764740545
2021-01-14,0.0017707192229627087
2021-01-15,0.0018212470891058377
2021-01-16,0.001823161166817689
2021-01-17,0.0018250752445295416
2021-01-18,0.0018269893222413944
2021-01-19,0.001891655269265042
2021-01-20,0.0018718165487191555
2021-01-21,0.0019266977999655018
2021-01-22,0.0019191128357404523
2021-01-23,0.0019210144087850353
2021-01-24,0.0019229159818296183
2021-01-25,0.002035946881781753
2021-01-26,0.001960455086747551
2021-01-27,0.0021709572221689493
2021-01-28,0.001959769513347684
2021-01-29,0.0021284005686637896
2021-01-30,0.002130196424109307
2021-01-31,0.002131992279554826
2021-02-01,0.0018617110205722688
2021-02-02,0.0017354818505042053
2021-02-03,0.0017017177364990646
2021-02-04,0.0017032752690974208
2021-02-05,0.0016629906037504095
2021-02-06,0.0016655247060977062
2021-02-07,0.0016680588084450007
2021-02-08,0.001505265337715534
2021-02-09,0.0015290859527130416
2021-02-10,0.0015146080164753855
2021-02-11,0.001556833366954002
2021-02-12,0.0014806807695110285
2021-02-13,0.0014832218636720387
2021-02-14,0.001485762957833049
2021-02-15,0.0014883040519940573
2021-02-16,0.0013203451733701103
2021-02-17,0.001429227970137324
2021-02-18,0.001527157283027063
2021-02-19,0.0014501327203560377
2021-02-20,0.001452628196978199
2021-02-21,0.0014551236736003617
2021-02-22,0.0014320757224748062
2021-02-23,0.0014778114616274306
2021-02-24,0.001317885877455633
2021-02-25,0.0013869326713362453
