Date,UBS - MBFJF Accumulated Oriented Area
2021-08-27,0.003803518263083873
2021-08-28,0.0038033942792898906
2021-08-29,0.003803270295495908
2021-08-30,0.0037868794052215975
2021-08-31,0.003878689773409631
2021-09-01,0.00388967149685624
2021-09-02,0.0038879507803543253
2021-09-03,0.0037547387894589215
2021-09-04,0.003754824605617624
2021-09-05,0.0037549104217763276
2021-09-06,0.003754996237935031
2021-09-07,0.003754609183350418
2021-09-08,0.0037484936076390358
2021-09-09,0.003647235813010767
2021-09-10,0.0036475574670483983
2021-09-11,0.003648043763587463
2021-09-12,0.003648530060126528
2021-09-13,0.0036866228234918906
2021-09-14,0.0036844137010065307
2021-09-15,0.003686993940422008
2021-09-16,0.0036877885933658
2021-09-17,0.003682308049503938
2021-09-18,0.0036826962970102966
2021-09-19,0.003683084544516656
2021-09-20,0.0036654831567164625
2021-09-21,0.003663855315335973
2021-09-22,0.003670996406259462
2021-09-23,0.003674994002928835
2021-09-24,0.003677056752585797
2021-09-25,0.003677574137972664
2021-09-26,0.0036780915233595307
2021-09-27,0.0036839027210711045
2021-09-28,0.0036807883538373903
2021-09-29,0.0036848921901028926
2021-09-30,0.0036175199444414986
2021-10-01,0.0036182641718691773
2021-10-02,0.0036189408978467034
2021-10-03,0.0036196176238242304
2021-10-04,0.0036201070445337088
2021-10-05,0.003619527232315741
2021-10-06,0.003694385944286356
2021-10-07,0.0037031212403595155
2021-10-08,0.003710420095609633
2021-10-09,0.003710703706879015
2021-10-10,0.003710987318148397
2021-10-11,0.003709956413070383
2021-10-12,0.003695443567270639
2021-10-13,0.0037321759902109557
2021-10-14,0.0037471009045049117
2021-10-15,0.0037519522357400575
2021-10-16,0.003752033110052358
2021-10-17,0.003752113984364659
2021-10-18,0.0037237400111115046
2021-10-19,0.003725313044584287
2021-10-20,0.003728432523706398
2021-10-21,0.0037284055316180193
2021-10-22,0.003733498252683706
2021-10-23,0.0037336123985177755
2021-10-24,0.0037337265443518446
2021-10-25,0.0037358576330934375
2021-10-26,0.0037397928676686553
2021-10-27,0.0037414659077854703
2021-10-28,0.003744352837777673
2021-10-29,0.0037437362956616
2021-10-30,0.0037437430871742434
2021-10-31,0.003743749878686887
2021-11-01,0.0037515350921975116
2021-11-02,0.0037525110514674874
2021-11-03,0.00375284973182927
2021-11-04,0.003744770148850679
2021-11-05,0.0037476158042978724
2021-11-06,0.003747578700375662
2021-11-07,0.003747541596453454
2021-11-08,0.0037461503309859827
2021-11-09,0.00374749362455919
2021-11-10,0.0037837338362155023
2021-11-11,0.0037542875662751564
2021-11-12,0.00375181190565756
2021-11-13,0.0037515964065185344
2021-11-14,0.0037513809073795095
2021-11-15,0.0037460216688413447
2021-11-16,0.0037458261358278965
2021-11-17,0.003759396716380415
2021-11-18,0.0037430078846773544
2021-11-19,0.003714449747243629
2021-11-20,0.0037143715644567124
2021-11-21,0.003714293381669795
2021-11-22,0.0037130024068804217
2021-11-23,0.0037190015585768154
2021-11-24,0.003810294756341443
2021-11-25,0.0038097607232665566
2021-11-26,0.0037345528871358144
