Date,UBS - WFC Accumulated Oriented Area
2022-04-06,0.003964736329433752
2022-04-07,0.003967266778015142
2022-04-08,0.003949382349264259
2022-04-09,0.0039493995727397585
2022-04-10,0.0039494167962152585
2022-04-11,0.003938496769483038
2022-04-12,0.003959480641710195
2022-04-13,0.003956495253205047
2022-04-14,0.0040144965621282305
2022-04-15,0.0040143222978200315
2022-04-16,0.004014148033511835
2022-04-17,0.004013973769203637
2022-04-18,0.00398846431580599
2022-04-19,0.003973785160286588
2022-04-20,0.003952195935908255
2022-04-21,0.003974043532671697
2022-04-22,0.004017993068002073
2022-04-23,0.004017824673410546
2022-04-24,0.00401765627881902
2022-04-25,0.004037991411703169
2022-04-26,0.00406308450529512
2022-04-27,0.004086910704155815
2022-04-28,0.00406537424446545
2022-04-29,0.004102056137075659
2022-04-30,0.004101644591148598
2022-05-01,0.004101233045221538
2022-05-02,0.004102597908084571
2022-05-03,0.004112009657388561
2022-05-04,0.0040765799968024785
2022-05-05,0.004087527501317331
2022-05-06,0.004092826659464716
2022-05-07,0.0040924961880156275
2022-05-08,0.0040921657165665405
2022-05-09,0.004075946311191398
2022-05-10,0.004151018783048835
2022-05-11,0.00415562790352265
2022-05-12,0.00419607545228633
2022-05-13,0.0042137385999311714
2022-05-14,0.004213221068013134
2022-05-15,0.004212703536095098
2022-05-16,0.0042137655766429265
2022-05-17,0.004189606604207959
2022-05-18,0.004231973218406387
2022-05-19,0.0042677655306318
2022-05-20,0.0042911140358350645
2022-05-21,0.004290489729794326
2022-05-22,0.004289865423753589
2022-05-23,0.004272888032351435
2022-05-24,0.004308058745340019
2022-05-25,0.004273402354638848
2022-05-26,0.00425982519464628
2022-05-27,0.00425652747423301
2022-05-28,0.0042562848002799586
2022-05-29,0.004256042126326908
2022-05-30,0.004255799452373857
2022-05-31,0.004254123882723726
2022-06-01,0.004261730792134637
2022-06-02,0.004272736377787523
2022-06-03,0.004268354496736037
2022-06-04,0.00426801642395147
2022-06-05,0.0042676783511669016
2022-06-06,0.004268373984986895
2022-06-07,0.004257570075003623
2022-06-08,0.004233171050032203
2022-06-09,0.0042675659580515965
2022-06-10,0.004344360134027304
2022-06-11,0.00434359271632345
2022-06-12,0.004342825298619594
2022-06-13,0.0042964678670157075
2022-06-14,0.004390884743419477
2022-06-15,0.0043859721525531595
2022-06-16,0.004310330825841471
2022-06-17,0.004267220343951514
2022-06-18,0.004266307596264054
2022-06-19,0.004265394848576596
2022-06-20,0.004264482100889137
2022-06-21,0.004259071916180127
2022-06-22,0.004314928996126754
2022-06-23,0.004310484152644404
2022-06-24,0.0042730850600411156
2022-06-25,0.004272388954581541
2022-06-26,0.004271692849121967
2022-06-27,0.004300714804693532
2022-06-28,0.004268253999156901
2022-06-29,0.004272783125176041
2022-06-30,0.004286029173334849
2022-07-01,0.0042221640457135515
2022-07-02,0.004221395722885766
2022-07-03,0.004220627400057981
2022-07-04,0.004219859077230196
2022-07-05,0.004155086078451974
2022-07-06,0.00416901729560261
2022-07-07,0.0041519363296113115
2022-07-08,0.00417355291336222
2022-07-09,0.004172815798525947
2022-07-10,0.004172078683689673
2022-07-11,0.004168474948090769
2022-07-12,0.004210044448184899
2022-07-13,0.004216480380528619
2022-07-14,0.00417132094603032
2022-07-15,0.00404321713670029
2022-07-16,0.00404258355136959
2022-07-17,0.004041949966038891
2022-07-18,0.004060465727192429
2022-07-19,0.003998585575414167
2022-07-20,0.0039907304993496324
2022-07-21,0.003995667823601474
2022-07-22,0.003991044354254462
2022-07-23,0.003990595285210323
2022-07-24,0.003990146216166182
2022-07-25,0.003991537103545522
2022-07-26,0.0038720037600508965
2022-07-27,0.003844802281640739
2022-07-28,0.003913560350531427
2022-07-29,0.003908963733599826
2022-07-30,0.003908588152971492
2022-07-31,0.0039082125723431576
2022-08-01,0.003921228159533331
2022-08-02,0.003947211757234708
2022-08-03,0.003893096763415151
2022-08-04,0.0039938695358508886
2022-08-05,0.003910652983531495
2022-08-06,0.003910267329192704
2022-08-07,0.003909881674853913
2022-08-08,0.003967521967887719
2022-08-09,0.0039379648484635914
2022-08-10,0.003916550426237715
2022-08-11,0.003876993289297271
2022-08-12,0.003854489216004639
2022-08-13,0.0038542859654017176
2022-08-14,0.0038540827147987965
2022-08-15,0.0038547453357967356
2022-08-16,0.0038402116123043123
2022-08-17,0.0038260660451006658
2022-08-18,0.0038278410673886704
2022-08-19,0.003847487726411578
2022-08-20,0.003847250228920751
2022-08-21,0.003847012731429922
2022-08-22,0.003883545820291642
2022-08-23,0.0038860105786323366
2022-08-24,0.0038587968322998244
2022-08-25,0.003825918433738729
2022-08-26,0.003898409965539551
2022-08-27,0.003898057171276064
2022-08-28,0.0038977043770125766
2022-08-29,0.003924013362915353
2022-08-30,0.003907675420875682
2022-08-31,0.003930170849797244
2022-09-01,0.0038957488286464805
2022-09-02,0.003929405005604525
2022-09-03,0.003928998618496753
2022-09-04,0.0039285922313889825
2022-09-05,0.00392818584428121
2022-09-06,0.003975350386920201
2022-09-07,0.003908958944763093
2022-09-08,0.0038379089522422504
2022-09-09,0.0038551688439633558
2022-09-10,0.003854923393682814
2022-09-11,0.003854677943402272
2022-09-12,0.0038588170825915565
2022-09-13,0.003987526499736791
2022-09-14,0.003970577747637049
2022-09-15,0.003930072235874221
2022-09-16,0.003913992934198067
2022-09-17,0.003913619866453411
2022-09-18,0.003913246798708754
2022-09-19,0.003889272039519315
2022-09-20,0.0039273316770731025
2022-09-21,0.003987633202880008
2022-09-22,0.0040034316188191565
2022-09-23,0.004027216224469867
2022-09-24,0.004026527157846053
