Date,UBS - JPM Accumulated Oriented Area
2021-06-20,0.0018560184404753648
2021-06-21,0.0017990357256755492
2021-06-22,0.0018523169757303072
2021-06-23,0.0018195384040896913
2021-06-24,0.001750816375582218
2021-06-25,0.0017241397543004613
2021-06-26,0.0017264090598203261
2021-06-27,0.0017286783653401934
2021-06-28,0.001766201842064318
2021-06-29,0.0017929977167191434
2021-06-30,0.001815559905978163
2021-07-01,0.001750296481484155
2021-07-02,0.0017894348093288452
2021-07-03,0.0017918398097235575
2021-07-04,0.0017942448101182715
2021-07-05,0.001796649810512986
2021-07-06,0.0019145539674841306
2021-07-07,0.001947213855034355
2021-07-08,0.0021271955140112053
2021-07-09,0.0019319040927358725
2021-07-10,0.0019343806996559164
2021-07-11,0.0019368573065759577
2021-07-12,0.0018555650482003465
2021-07-13,0.0019204311407776198
2021-07-14,0.0019205197724504286
2021-07-15,0.0019353965380785921
2021-07-16,0.00206177084451314
2021-07-17,0.0020641021009973233
2021-07-18,0.0020664333574815057
2021-07-19,0.002278259681048531
2021-07-20,0.002021936974240637
2021-07-21,0.0018210571884489334
2021-07-22,0.0018844508577208826
2021-07-23,0.0018257530393454495
2021-07-24,0.0018278272454688284
2021-07-25,0.001829901451592207
2021-07-26,0.0017426872598718093
2021-07-27,0.0017472962017313198
2021-07-28,0.0017542452121852787
2021-07-29,0.0016483147308555784
2021-07-30,0.001674381911413415
2021-07-31,0.0016764070732325897
2021-08-01,0.0016784322350517644
2021-08-02,0.001671326601619475
2021-08-03,0.0016133293103413006
2021-08-04,0.0016584208394506692
2021-08-05,0.0016042764821093867
2021-08-06,0.001525345079993255
2021-08-07,0.001527544473049831
2021-08-08,0.001529743866106409
2021-08-09,0.0015422301138112104
2021-08-10,0.0015073161547200238
2021-08-11,0.0014516944390970512
2021-08-12,0.001452624098877887
2021-08-13,0.0014491865436088657
2021-08-14,0.001451450322202839
2021-08-15,0.0014537141007968097
2021-08-16,0.0014787699215121214
2021-08-17,0.001555789836091621
2021-08-18,0.0015970264005224686
2021-08-19,0.0016686667029275663
2021-08-20,0.0016548297723404195
2021-08-21,0.0016569578125346799
2021-08-22,0.001659085852728939
2021-08-23,0.00160915463222865
2021-08-24,0.001572661357660349
2021-08-25,0.0014947329603985525
2021-08-26,0.001575035296280495
2021-08-27,0.0015102360977159678
2021-08-28,0.0015126640923451727
2021-08-29,0.0015150920869743784
2021-08-30,0.0016163699294523505
2021-08-31,0.0016270316452095502
2021-09-01,0.001603934376966913
2021-09-02,0.0016018370198514018
2021-09-03,0.0016172341254811116
2021-09-04,0.0016195448395423977
2021-09-05,0.0016218555536036835
2021-09-06,0.0016241662676649692
2021-09-07,0.0016324739894294845
2021-09-08,0.0016819699894712668
2021-09-09,0.0017004928731960875
2021-09-10,0.001715781421543201
2021-09-11,0.0017180360892971706
2021-09-12,0.00172029075705114
2021-09-13,0.0016369142197789279
2021-09-14,0.0017188208512092977
2021-09-15,0.0016673575758902254
2021-09-16,0.001661524379695445
2021-09-17,0.001772509562568541
2021-09-18,0.001774804363115389
2021-09-19,0.001777099163662234
2021-09-20,0.002150658913695615
2021-09-21,0.002186702384802908
2021-09-22,0.0020300621605819323
2021-09-23,0.0018808069254980702
2021-09-24,0.0018252166050789786
2021-09-25,0.0018278279440759775
2021-09-26,0.0018304392830729768
2021-09-27,0.0016772187413731244
2021-09-28,0.001758297356930784
2021-09-29,0.0016988210144773777
2021-09-30,0.0018060534914813963
2021-10-01,0.0017570602582064434
2021-10-02,0.001759825356678173
2021-10-03,0.0017625904551498998
2021-10-04,0.0017572919995023585
2021-10-05,0.0016572140078427856
2021-10-06,0.0016732737304904497
2021-10-07,0.0015423749587639628
2021-10-08,0.001444083212097534
2021-10-09,0.0014468304666817654
2021-10-10,0.0014495777212659986
2021-10-11,0.0015114356065333613
2021-10-12,0.0015120735851352225
2021-10-13,0.001552861299227791
2021-10-14,0.0014044991705538024
2021-10-15,0.0013372978744568581
2021-10-16,0.001339804544262919
2021-10-17,0.0013423112140689795
2021-10-18,0.0013685668101188642
2021-10-19,0.0013300697286531273
2021-10-20,0.001262580756201426
2021-10-21,0.0012788041774399578
2021-10-22,0.0011785766259550551
2021-10-23,0.0011812213227681528
2021-10-24,0.0011838660195812535
2021-10-25,0.001156669339750497
2021-10-26,0.0010913760091641937
2021-10-27,0.0010836044627470579
2021-10-28,0.0010299091467372214
2021-10-29,0.001044152954147345
2021-10-30,0.0010466457491743494
2021-10-31,0.001049138544201354
2021-11-01,0.0009306333239516183
2021-11-02,0.0009155611894116572
2021-11-03,0.0009113770194064724
2021-11-04,0.0010395857161942194
2021-11-05,0.0010013661811832156
2021-11-06,0.0010037545266484457
2021-11-07,0.0010061428721136758
2021-11-08,0.001024378014393819
2021-11-09,0.0010119710623889332
2021-11-10,0.0010973026977492738
2021-11-11,0.0010838710465033254
2021-11-12,0.0011023447370478027
2021-11-13,0.0011047259029218852
2021-11-14,0.0011071070687959678
2021-11-15,0.0011392038928744292
2021-11-16,0.0011480852367326793
2021-11-17,0.0010823422218643843
2021-11-18,0.0011743494906131472
2021-11-19,0.001331828524512281
2021-11-20,0.0013340687872881228
2021-11-21,0.001336309050063966
2021-11-22,0.0013141228108086219
2021-11-23,0.0012512945090038118
2021-11-24,0.0012317551616661683
2021-11-25,0.0012342105712477667
2021-11-26,0.0014744065971994552
2021-11-27,0.001476761213333327
2021-11-28,0.0014791158294671987
2021-11-29,0.0014627277752412649
2021-11-30,0.0014541379145962148
2021-12-01,0.0014914138188160356
2021-12-02,0.0013112823156395921
2021-12-03,0.001399702584818051
2021-12-04,0.0014018299101460137
2021-12-05,0.0014039572354739743
2021-12-06,0.0013294586503318506
2021-12-07,0.0012324303430860906
2021-12-08,0.0012437027542914236
2021-12-09,0.0012778529847788374
2021-12-10,0.001290084047886623
2021-12-11,0.0012922109812655213
2021-12-12,0.0012943379146444177
2021-12-13,0.0013460346053964913
2021-12-14,0.001340721745796462
2021-12-15,0.0013988120088201652
2021-12-16,0.0013068069974266202
2021-12-17,0.0014629993156481014
2021-12-18,0.0014650787779965642
2021-12-19,0.0014671582403450272
2021-12-20,0.0015417051281547078
2021-12-21,0.0014670152041874438
2021-12-22,0.0014296570640019261
2021-12-23,0.0013677271873047934
2021-12-24,0.0013697598121169292
2021-12-25,0.0013717924369290632
2021-12-26,0.0013738250617411974
2021-12-27,0.0013047696989231777
2021-12-28,0.0012931333303077054
2021-12-29,0.0013138941206706262
2021-12-30,0.001347764344194731
2021-12-31,0.001363926838551204
2022-01-01,0.0013659972159782796
2022-01-02,0.0013680675934053539
2022-01-03,0.0012773533367638177
2022-01-04,0.0011018126490997013
2022-01-05,0.0011903607467650909
2022-01-06,0.0010079085998656032
2022-01-07,0.0009143481489979034
2022-01-08,0.000916546120656778
2022-01-09,0.0009187440923156551
2022-01-10,0.0009524491424596744
2022-01-11,0.000920004361133326
2022-01-12,0.0008618442331836508
2022-01-13,0.0008639183005255218
2022-01-14,0.000844976695173335
2022-01-15,0.0008467547200545114
2022-01-16,0.0008485327449356895
2022-01-17,0.0008503107698168678
2022-01-18,0.0009004982329455854
2022-01-19,0.000946995019520307
2022-01-20,0.0009527145165072453
2022-01-21,0.0009825950239151866
2022-01-22,0.0009838995130146825
2022-01-23,0.0009852040021141781
2022-01-24,0.001079827124678147
2022-01-25,0.0010476655039969615
2022-01-26,0.0010081208996522548
2022-01-27,0.001091267078789324
2022-01-28,0.0010820262841801324
2022-01-29,0.0010834941622567054
2022-01-30,0.0010849620403332787
2022-01-31,0.0010304553107702869
2022-02-01,0.0007088821901585667
2022-02-02,0.0006808163682962957
2022-02-03,0.000704096047555298
2022-02-04,0.0007149485011385434
2022-02-05,0.000716382776423879
2022-02-06,0.0007178170517092145
2022-02-07,0.0006832448812110513
2022-02-08,0.0006178375069196545
2022-02-09,0.0005715538298095902
2022-02-10,0.0005919724137338988
2022-02-11,0.0006729770282030386
2022-02-12,0.000674427691905699
2022-02-13,0.0006758783556083604
2022-02-14,0.0006928707603454966
2022-02-15,0.0006806967149619685
2022-02-16,0.0007277642959585384
2022-02-17,0.0007771650250531534
2022-02-18,0.0007860375416718461
2022-02-19,0.0007874894955637278
2022-02-20,0.0007889414494556093
2022-02-21,0.0007903934033474912
2022-02-22,0.0009284095356983733
2022-02-23,0.0009865633033258978
2022-02-24,0.0012314188236226633
2022-02-25,0.0010502074648960679
2022-02-26,0.001051670909822641
2022-02-27,0.0010531343547492134
2022-02-28,0.001217932039622937
2022-03-01,0.0013881795175715505
2022-03-02,0.0013294322634057497
2022-03-03,0.001409887181892277
2022-03-04,0.0016359882911591275
2022-03-05,0.0016373111561045345
2022-03-06,0.0016386340210499417
2022-03-07,0.0018719483716342362
2022-03-08,0.0018359972765131418
2022-03-09,0.0016605276926429401
2022-03-10,0.0017184884387707808
2022-03-11,0.0017902465762052475
2022-03-12,0.0017911615319706371
2022-03-13,0.001792076487736027
2022-03-14,0.001740224326365311
2022-03-15,0.0016869693906014006
2022-03-16,0.0014970477856410236
2022-03-17,0.0014490397870895357
2022-03-18,0.001413436433921016
2022-03-19,0.0014145738289124575
2022-03-20,0.0014157112239038985
2022-03-21,0.0014029533139925147
2022-03-22,0.001327144021441641
2022-03-23,0.0013821104790197683
2022-03-24,0.0013540341544879594
2022-03-25,0.001318234349771023
2022-03-26,0.0013193451553055076
2022-03-27,0.0013204559608399917
2022-03-28,0.0013444307432966714
2022-03-29,0.0012852217226062088
2022-03-30,0.0013140749042043756
2022-03-31,0.0013203683863481
2022-04-01,0.001310105668343845
2022-04-02,0.0013108468476347092
2022-04-03,0.0013115880269255744
2022-04-04,0.0012872921566139382
2022-04-05,0.0013846168086931179
2022-04-06,0.0014268176191316582
2022-04-07,0.001431526567554021
2022-04-08,0.001412186581396548
2022-04-09,0.0014130151264487604
2022-04-10,0.0014138436715009728
2022-04-11,0.0014302435398651136
2022-04-12,0.0014932972644237136
2022-04-13,0.0015589212581589391
2022-04-14,0.0015880008821504508
2022-04-15,0.0015886005097781003
2022-04-16,0.00158920013740575
2022-04-17,0.0015897997650333997
2022-04-18,0.0015482241865513095
2022-04-19,0.0014898367405264223
2022-04-20,0.0014808466947542744
2022-04-21,0.0015262734056964268
2022-04-22,0.0016111523041358077
2022-04-23,0.0016118434978513196
2022-04-24,0.0016125346915668317
2022-04-25,0.0016120526104526753
2022-04-26,0.001707768781786283
2022-04-27,0.0017474214417786823
2022-04-28,0.0017056745815218993
2022-04-29,0.0017969015571141422
2022-04-30,0.0017972654355205148
2022-05-01,0.001797629313926887
2022-05-02,0.001770812332445514
2022-05-03,0.0017137221807732672
2022-05-04,0.001626256518390602
2022-05-05,0.0017044890075455135
2022-05-06,0.001710064551245393
2022-05-07,0.0017106154451441361
2022-05-08,0.0017111663390428767
2022-05-09,0.0017605205476497604
2022-05-10,0.001852863421239827
2022-05-11,0.001865502720867426
2022-05-12,0.0018698757370500649
2022-05-13,0.0018648189562964423
2022-05-14,0.0018650873341391676
2022-05-15,0.001865355711981896
2022-05-16,0.0018790582815886856
2022-05-17,0.0018001827266100013
2022-05-18,0.0018425496499722626
2022-05-19,0.0018921992545268616
2022-05-20,0.0019172043870282255
2022-05-21,0.0019172894555556483
2022-05-22,0.0019173745240830711
2022-05-23,0.0018049097501595813
2022-05-24,0.001776739751374744
2022-05-25,0.0017726165208323955
2022-05-26,0.0017335032571185443
2022-05-27,0.0017124076358685264
2022-05-28,0.001713056067308736
2022-05-29,0.0017137044987489455
2022-05-30,0.001714352930189155
2022-05-31,0.001710909128673194
2022-06-01,0.0017437052746573777
2022-06-02,0.0017046414605602705
2022-06-03,0.0017408268314305778
2022-06-04,0.0017414466436904954
2022-06-05,0.001742066455950413
2022-06-06,0.001740616000600857
2022-06-07,0.0017410690655116877
2022-06-08,0.0018118232053942244
2022-06-09,0.0018828885871708504
2022-06-10,0.002028118428518833
2022-06-11,0.0020284894171380243
2022-06-12,0.002028860405757215
2022-06-13,0.002104673088147228
2022-06-14,0.0021700367875993358
2022-06-15,0.0021427503271325915
2022-06-16,0.002165087111378211
2022-06-17,0.0021941886688049816
2022-06-18,0.0021943931023284844
2022-06-19,0.002194597535851988
2022-06-20,0.002194801969375491
2022-06-21,0.002101647236703669
2022-06-22,0.0021400771481505233
2022-06-23,0.0021618200540547217
2022-06-24,0.0021164571117239105
2022-06-25,0.0021167098079875085
2022-06-26,0.0021169625042511036
2022-06-27,0.002146171567366459
2022-06-28,0.002145760487662735
2022-06-29,0.0021507432279055903
2022-06-30,0.0022344136818324475
2022-07-01,0.002172536400599209
2022-07-02,0.0021727234884285733
2022-07-03,0.0021729105762579373
2022-07-04,0.0021730976640873052
2022-07-05,0.0021937640992156586
2022-07-06,0.002201604604322122
2022-07-07,0.0021028141017807424
2022-07-08,0.002134595954530849
2022-07-09,0.002134833887814702
2022-07-10,0.002135071821098555
2022-07-11,0.002174879730095537
2022-07-12,0.002190760924705281
2022-07-13,0.0022117522635349235
2022-07-14,0.0023316811659592376
2022-07-15,0.0021626966784706538
2022-07-16,0.002162898263476717
2022-07-17,0.0021630998484827805
2022-07-18,0.0022335886867612628
2022-07-19,0.0021758817876534014
2022-07-20,0.0021589788797738837
2022-07-21,0.0021686047020371873
2022-07-22,0.002177614762168203
2022-07-23,0.002177773313394229
2022-07-24,0.002177931864620255
2022-07-25,0.0021833291470115786
2022-07-26,0.002087263679619098
2022-07-27,0.0020412885580830733
2022-07-28,0.002103358405058693
2022-07-29,0.0021158984059222066
2022-07-30,0.002116141591756758
2022-07-31,0.002116384777591309
2022-08-01,0.002152244467575795
2022-08-02,0.0022033413332621585
2022-08-03,0.0021729104828483716
2022-08-04,0.002259587151418248
2022-08-05,0.0021084575835818003
2022-08-06,0.002108727392133836
2022-08-07,0.0021089972006858686
2022-08-08,0.00218580477035306
2022-08-09,0.0021309856642549346
2022-08-10,0.0020569226404234878
2022-08-11,0.0020094189083178044
2022-08-12,0.001958735778059193
2022-08-13,0.0019591887329605895
2022-08-14,0.001959641687861989
2022-08-15,0.001946288622296619
2022-08-16,0.0019124371686560892
2022-08-17,0.0019411968254789702
2022-08-18,0.0019731157358449077
2022-08-19,0.0020549191709049097
2022-08-20,0.002055341072744613
2022-08-21,0.002055762974584316
2022-08-22,0.0021071388833499125
2022-08-23,0.002156065665094551
2022-08-24,0.002134314626676206
2022-08-25,0.002042607781407752
2022-08-26,0.002176176502489903
2022-08-27,0.002176487925318705
2022-08-28,0.0021767993481475066
2022-08-29,0.002218786510927985
2022-08-30,0.0022172219557403993
2022-08-31,0.00223683146390542
2022-09-01,0.0021572356179438736
2022-09-02,0.0022065834857308312
2022-09-03,0.0022068633683523103
2022-09-04,0.0022071432509737894
2022-09-05,0.0022074231335952686
2022-09-06,0.0022168606399225093
2022-09-07,0.0021266360933211606
2022-09-08,0.0020420918494956156
2022-09-09,0.0020458344710767755
2022-09-10,0.002046236748939229
2022-09-11,0.002046639026801684
2022-09-12,0.002013120251838618
2022-09-13,0.0021530799534546902
2022-09-14,0.002150459551055742
2022-09-15,0.0020995830831100916
2022-09-16,0.0021014239884491453
2022-09-17,0.0021017316175866276
2022-09-18,0.0021020392467241055
2022-09-19,0.0020618855591135804
2022-09-20,0.0021323462403750417
2022-09-21,0.0022523773897161316
2022-09-22,0.0022626380195783623
2022-09-23,0.0022856550759425796
2022-09-24,0.002285779308156494
2022-09-25,0.002285903540370415
