Date,MS - IBKR Accumulated Oriented Area
2020-04-02,-0.00011971147091370527
2020-04-03,0.00010528567315217226
2020-04-04,0.00010432329444523368
2020-04-05,0.00010336091573829497
2020-04-06,0.00018434425387062352
2020-04-07,0.0003114736887388276
2020-04-08,0.0004560704155814509
2020-04-09,0.0005964005938812697
2020-04-10,0.0005951287238080774
2020-04-11,0.0005938568537348836
2020-04-12,0.0005925849836616914
2020-04-13,0.0005241529961277935
2020-04-14,0.0004807490444315764
2020-04-15,0.0003797316259769773
2020-04-16,0.00030016908020974334
2020-04-17,0.0003348496560446214
2020-04-18,0.00033385298740718405
2020-04-19,0.0003328563187697486
2020-04-20,0.0004008761789856916
2020-04-21,0.00035625303146424446
2020-04-22,0.0009057371679543507
2020-04-23,0.000872044708594331
2020-04-24,0.0010184368489936186
2020-04-25,0.0010162182237119818
2020-04-26,0.001013999598430344
2020-04-27,0.0010502989312496241
2020-04-28,0.0012262333026980554
2020-04-29,0.0011164917715734536
2020-04-30,0.0009978564662568303
2020-05-01,0.0008519181440626385
2020-05-02,0.0008501215905592106
2020-05-03,0.0008483250370557812
2020-05-04,0.000851039194558944
2020-05-05,0.0008704072759423101
2020-05-06,0.000777933645116111
2020-05-07,0.0009630139365920717
2020-05-08,0.0010689837994685137
2020-05-09,0.0010670272460934066
2020-05-10,0.0010650706927183022
2020-05-11,0.00111687001346631
2020-05-12,0.001077774930128318
2020-05-13,0.001019242200511158
2020-05-14,0.001087988561049569
2020-05-15,0.0010514430573465264
2020-05-16,0.0010490179335516806
2020-05-17,0.001046592809756837
2020-05-18,0.0013157082524840145
2020-05-19,0.0012359480460848301
2020-05-20,0.001420519673161824
2020-05-21,0.0013280734479750838
2020-05-22,0.0013142651644524228
2020-05-23,0.0013118554567325745
2020-05-24,0.0013094457490127336
2020-05-25,0.001307036041292885
2020-05-26,0.001651389644456883
2020-05-27,0.0018303899594848917
2020-05-28,0.0016062081426068823
2020-05-29,0.0016153316387241521
2020-05-30,0.0016131928901634807
2020-05-31,0.0016110541416028148
2020-06-01,0.0016428420830371855
2020-06-02,0.0017238516437080118
2020-06-03,0.0018040531794037355
2020-06-04,0.001995985627262103
2020-06-05,0.0020735313480773725
2020-06-06,0.002071121085822085
2020-06-07,0.0020687108235668016
2020-06-08,0.002073351850520162
2020-06-09,0.002119625187129321
2020-06-10,0.002012812037163418
2020-06-11,0.0016025702549479657
2020-06-12,0.0017846463710251854
2020-06-13,0.0017821658790011289
2020-06-14,0.0017796853869770724
2020-06-15,0.0018535594573399735
2020-06-16,0.001934553487221632
2020-06-17,0.0018875745203996682
2020-06-18,0.0018696389445481015
2020-06-19,0.0018339339214182727
2020-06-20,0.0018313989000867067
2020-06-21,0.0018288638787551357
2020-06-22,0.001892324984811896
2020-06-23,0.0019116075763785088
2020-06-24,0.0018545934357689722
2020-06-25,0.0020120928275905244
2020-06-26,0.0018937079610139758
2020-06-27,0.0018909102137080341
2020-06-28,0.0018881124664020853
2020-06-29,0.0018472649437677622
2020-06-30,0.0019425308630227566
2020-07-01,0.0018405606479072138
2020-07-02,0.0018193662785432247
2020-07-03,0.0018170211727668692
2020-07-04,0.0018146760669905159
2020-07-05,0.0018123309612141588
2020-07-06,0.0018185183895763277
2020-07-07,0.0016194515337694683
2020-07-08,0.0016476257316148457
2020-07-09,0.0015407997580789649
2020-07-10,0.0016819248522146502
2020-07-11,0.001680454403515618
2020-07-12,0.0016789839548165828
2020-07-13,0.0016935019159374288
2020-07-14,0.001664183677022953
2020-07-15,0.00164799088102743
2020-07-16,0.0017367389013776713
2020-07-17,0.0017346175424520827
2020-07-18,0.0017332634714444344
2020-07-19,0.0017319094004367834
2020-07-20,0.0016985408551138297
2020-07-21,0.0017282106973746808
2020-07-22,0.0016473387658163194
2020-07-23,0.0016673221489828338
2020-07-24,0.0016605382270643155
2020-07-25,0.001659059602353262
2020-07-26,0.0016575809776422055
2020-07-27,0.0017079350771401556
2020-07-28,0.0016554335726661623
2020-07-29,0.0016500802917707614
2020-07-30,0.0015641300586193962
2020-07-31,0.0015634493671424624
2020-08-01,0.0015621148342124533
2020-08-02,0.0015607803012824412
2020-08-03,0.0015534865069423169
2020-08-04,0.0015309085957336253
2020-08-05,0.00152487802692731
2020-08-06,0.001543386399905818
2020-08-07,0.0015815725276023377
2020-08-08,0.001580361779785097
2020-08-09,0.0015791510319678535
2020-08-10,0.001648726423611254
2020-08-11,0.0017179018182079306
2020-08-12,0.0017153787109831758
2020-08-13,0.0017134008734625541
2020-08-14,0.0016827938286612283
2020-08-15,0.0016815668059841113
2020-08-16,0.0016803397833069964
2020-08-17,0.0016313372386129845
2020-08-18,0.0016114742733772088
2020-08-19,0.001616010851886721
2020-08-20,0.0015918821860940774
2020-08-21,0.00163221669876246
2020-08-22,0.001630987950545771
2020-08-23,0.001629759202329086
2020-08-24,0.0016858559239677615
2020-08-25,0.001671051367512161
2020-08-26,0.0016270593378282384
2020-08-27,0.0016604426025911148
2020-08-28,0.0016671339326170967
2020-08-29,0.001666024693049778
2020-08-30,0.0016649154534824624
2020-08-31,0.0016400035406856795
2020-09-01,0.0016470400570760698
2020-09-02,0.0016782903773472958
2020-09-03,0.0016634619940298248
2020-09-04,0.0016847154257949677
2020-09-05,0.001683415565161185
2020-09-06,0.0016821157045274037
2020-09-07,0.0016808158438936203
2020-09-08,0.00163386504543249
2020-09-09,0.0017198956041530567
2020-09-10,0.0016887879087057985
2020-09-11,0.0016808013843981437
2020-09-12,0.0016789849492481598
2020-09-13,0.0016771685140981778
2020-09-14,0.0017262787752544621
2020-09-15,0.0016820649078927543
2020-09-16,0.0017234409695804959
2020-09-17,0.001649066849650582
2020-09-18,0.0016177752367399743
2020-09-19,0.0016160949659100577
2020-09-20,0.0016144146950801447
2020-09-21,0.0014833090413279176
2020-09-22,0.0013755366713377143
2020-09-23,0.0013765725971981173
2020-09-24,0.0014034463988893962
2020-09-25,0.0014035450798342494
2020-09-26,0.001402030669842375
2020-09-27,0.0014005162598505004
2020-09-28,0.001457870749833277
2020-09-29,0.0013791336990184328
2020-09-30,0.001455009731994439
2020-10-01,0.0013513656449268055
2020-10-02,0.0013856774677693709
2020-10-03,0.0013843160378557617
2020-10-04,0.0013829546079421528
2020-10-05,0.0013923788951865055
2020-10-06,0.0013024968734151791
2020-10-07,0.001340017767648864
2020-10-08,0.0013164340221768164
2020-10-09,0.0013430480409412516
2020-10-10,0.0013418816557810068
2020-10-11,0.001340715270620762
2020-10-12,0.0014265839068086307
2020-10-13,0.0014352902061503165
2020-10-14,0.001500504683180632
2020-10-15,0.001524881144714707
2020-10-16,0.001544504760751828
2020-10-17,0.0015430539780091287
2020-10-18,0.0015416031952664266
2020-10-19,0.0015226231397235713
2020-10-20,0.0015386995111633095
2020-10-21,0.0014723468294805648
2020-10-22,0.0015625677705055246
2020-10-23,0.0015786916068042428
2020-10-24,0.0015770793250442358
2020-10-25,0.0015754670432842253
2020-10-26,0.0015073674926893484
2020-10-27,0.0013774257028448767
2020-10-28,0.0012877723685763038
2020-10-29,0.0013523667155228697
2020-10-30,0.001365138009346487
2020-10-31,0.0013635424845918416
2020-11-01,0.0013619469598371953
2020-11-02,0.0014510918561734508
2020-11-03,0.0015464568277750146
2020-11-04,0.001586080173213971
2020-11-05,0.0016011829081940799
2020-11-06,0.0015851450030122563
2020-11-07,0.0015834342671676499
2020-11-08,0.0015817235313230421
2020-11-09,0.0018625133171523813
2020-11-10,0.001810293091666162
2020-11-11,0.0018313730632935786
2020-11-12,0.0017791216030911025
2020-11-13,0.0017952728143672614
2020-11-14,0.0017939231623270396
2020-11-15,0.001792573510286814
2020-11-16,0.0018427875369665646
2020-11-17,0.001864463502245832
2020-11-18,0.0018882209814472192
2020-11-19,0.0018709341108650319
2020-11-20,0.001834292239740847
2020-11-21,0.0018327676955681702
2020-11-22,0.00183124315139549
2020-11-23,0.0019570591952885754
2020-11-24,0.002116919081522798
2020-11-25,0.002108340580268403
2020-11-26,0.00210637531622285
2020-11-27,0.002131361854100941
2020-11-28,0.0021295864147025533
2020-11-29,0.002127810975304168
2020-11-30,0.002029653257247658
2020-12-01,0.002097566002027171
2020-12-02,0.0021318042704607625
2020-12-03,0.002131018486836396
2020-12-04,0.0021693754562092933
2020-12-05,0.0021676610835738197
2020-12-06,0.0021659467109383483
2020-12-07,0.002118535238853234
2020-12-08,0.0021062325673496113
2020-12-09,0.0021340326094953484
2020-12-10,0.0021367215044179313
2020-12-11,0.00208783786461388
2020-12-12,0.0020862356886139468
2020-12-13,0.0020846335126140157
2020-12-14,0.0020225217475871686
2020-12-15,0.0021049194569984315
2020-12-16,0.0021210044731241467
2020-12-17,0.0021436768230026176
2020-12-18,0.0021244768760167658
2020-12-19,0.002123369413639456
2020-12-20,0.0021222619512621475
2020-12-21,0.002211158568805249
2020-12-22,0.002205246780110197
2020-12-23,0.0022417060465138696
2020-12-24,0.002242103060351182
2020-12-25,0.0022409973923291876
2020-12-26,0.0022398917243071914
2020-12-27,0.0022387860562851965
2020-12-28,0.0022570100924498362
2020-12-29,0.0022389374746787246
2020-12-30,0.0022183933291884737
2020-12-31,0.0022445841502268075
2021-01-01,0.002243431248592848
2021-01-02,0.0022422783469588864
2021-01-03,0.0022411254453249263
2021-01-04,0.0022413283846531356
2021-01-05,0.0022923610084253617
2021-01-06,0.0024120594299549295
2021-01-07,0.0024783947137072943
2021-01-08,0.0024982973273605614
2021-01-09,0.00249781706848487
2021-01-10,0.0024973368096091785
2021-01-11,0.002460562713894532
2021-01-12,0.0024788478868393196
2021-01-13,0.0024859758549564534
2021-01-14,0.0024526952133459047
2021-01-15,0.00246530912955087
2021-01-16,0.0024647334607796932
2021-01-17,0.0024641577920085137
2021-01-18,0.0024635821232373363
2021-01-19,0.0024842821150781245
2021-01-20,0.002436086279111751
2021-01-21,0.0024666829196387436
2021-01-22,0.0024593190990530147
2021-01-23,0.002458786402640937
2021-01-24,0.002458253706228858
2021-01-25,0.0024239031696671734
2021-01-26,0.0023844218828426808
2021-01-27,0.0023085598061515005
2021-01-28,0.0023254697044555158
2021-01-29,0.0022576450390148013
2021-01-30,0.002256617607552082
2021-01-31,0.0022555901760893627
2021-02-01,0.0023043188794035696
2021-02-02,0.0023560863418938837
2021-02-03,0.002364743440699025
2021-02-04,0.0023763611232462327
2021-02-05,0.0024197775119785604
2021-02-06,0.002419634481856112
2021-02-07,0.002419491451733664
2021-02-08,0.0024120513986095955
2021-02-09,0.002431831288536966
2021-02-10,0.002408093872050709
2021-02-11,0.0024025121290000215
2021-02-12,0.0024240308914998615
2021-02-13,0.002423889703161902
2021-02-14,0.002423748514823943
2021-02-15,0.0024236073264859836
2021-02-16,0.002457424954659548
2021-02-17,0.0024547504188395138
2021-02-18,0.002471120665511538
2021-02-19,0.0024542704032161832
2021-02-20,0.0024542479675243377
2021-02-21,0.0024542255318324925
2021-02-22,0.0024086238330434102
2021-02-23,0.0023760719008731083
2021-02-24,0.0024356923219734355
2021-02-25,0.002419399002467289
2021-02-26,0.0023833794408693295
2021-02-27,0.0023830836846724522
2021-02-28,0.002382787928475575
2021-03-01,0.0024851462782548473
2021-03-02,0.0024258290078454418
2021-03-03,0.0024158006263276413
2021-03-04,0.0023832481078879483
2021-03-05,0.0024004782061569445
2021-03-06,0.002400265685257114
2021-03-07,0.002400053164357284
2021-03-08,0.002419932444186514
2021-03-09,0.0025280086221669577
2021-03-10,0.0024662248511404124
2021-03-11,0.0024786470193962963
2021-03-12,0.002459746709476651
2021-03-13,0.0024597289442192306
2021-03-14,0.002459711178961812
2021-03-15,0.0024596184348059003
2021-03-16,0.0024098435191698994
2021-03-17,0.0024171246570101495
2021-03-18,0.002437101890034432
2021-03-19,0.0024717379544625068
2021-03-20,0.0024717487357860954
2021-03-21,0.002471759517109686
2021-03-22,0.0024746173059209675
2021-03-23,0.0024643095936518534
2021-03-24,0.0024137623158381008
2021-03-25,0.00237895679412952
2021-03-26,0.0023533395912289042
2021-03-27,0.002352943195394375
2021-03-28,0.0023525467995598433
2021-03-29,0.002353679377698316
2021-03-30,0.0023390877186243494
2021-03-31,0.0023692527575448685
2021-04-01,0.00238134860614978
2021-04-02,0.0023811159591283033
2021-04-03,0.0023808833121068272
2021-04-04,0.0023806506650853486
2021-04-05,0.0024215707396676657
2021-04-06,0.002398408701617572
2021-04-07,0.0023778409107789254
2021-04-08,0.002355795315523626
2021-04-09,0.00237712242773871
2021-04-10,0.0023768420656454796
2021-04-11,0.002376561703552246
2021-04-12,0.002369031647301794
2021-04-13,0.0023538729057693253
2021-04-14,0.0023974153861873685
2021-04-15,0.0024406780674800788
2021-04-16,0.0024697553941930824
2021-04-17,0.0024698002225636917
2021-04-18,0.0024698450509342993
2021-04-19,0.0024700043318555435
2021-04-20,0.0024243304383137366
2021-04-21,0.0023865536435378463
2021-04-22,0.0023214547353868097
2021-04-23,0.0023792234350115482
2021-04-24,0.0023788084666791377
2021-04-25,0.002378393498346727
2021-04-26,0.002344334268277879
