Date,UBS - BNPQY Accumulated Oriented Area
2020-07-24,0.002987301106447938
2020-07-25,0.002987182019447191
2020-07-26,0.002987062932446444
2020-07-27,0.0030366894832912043
2020-07-28,0.003017326036277166
2020-07-29,0.0029797322663612435
2020-07-30,0.003103783679650977
2020-07-31,0.003166144616151325
2020-08-01,0.003165743016887463
2020-08-02,0.0031653414176235992
2020-08-03,0.003044649954656737
2020-08-04,0.002977562513462813
2020-08-05,0.0030343623656139155
2020-08-06,0.003027853729328598
2020-08-07,0.003023748656688879
2020-08-08,0.0030235662407219013
2020-08-09,0.0030233838247549234
2020-08-10,0.003065028771280698
2020-08-11,0.002972026761011006
2020-08-12,0.0029313889283174733
2020-08-13,0.0029599167450478714
2020-08-14,0.0030027580323211244
2020-08-15,0.003002614608487466
2020-08-16,0.003002471184653805
2020-08-17,0.0029940465757266796
2020-08-18,0.0030152054189450848
2020-08-19,0.00297508265610272
2020-08-20,0.003004834213700739
2020-08-21,0.0030818690694576034
2020-08-22,0.0030815990335909755
2020-08-23,0.003081328997724348
2020-08-24,0.0030230129177208566
2020-08-25,0.003005658051360127
2020-08-26,0.0029806522092895925
2020-08-27,0.0030165841379992983
2020-08-28,0.002856314079325493
2020-08-29,0.0028564009428315895
2020-08-30,0.0028564878063376863
2020-08-31,0.002947932067566417
2020-09-01,0.003024492319847784
2020-09-02,0.0030814242908235516
2020-09-03,0.0030592396856981394
2020-09-04,0.0028810036707187453
2020-09-05,0.0028810590167110757
2020-09-06,0.002881114362703406
2020-09-07,0.0028811697086957365
2020-09-08,0.002987480044772721
2020-09-09,0.002978273653566095
2020-09-10,0.0029774328522296787
2020-09-11,0.0030223961374682535
2020-09-12,0.003022252070377045
2020-09-13,0.0030221080032858364
2020-09-14,0.0030640071152851184
2020-09-15,0.0030772041491852406
2020-09-16,0.003116636082442948
2020-09-17,0.0031193921976778766
2020-09-18,0.003170285169450862
2020-09-19,0.003169892481664274
2020-09-20,0.0031694997938776863
2020-09-21,0.0032464310975332546
2020-09-22,0.0032624082767788217
2020-09-23,0.003371696202925341
2020-09-24,0.0032712596022807655
2020-09-25,0.003305900469145634
2020-09-26,0.0033051148234205996
2020-09-27,0.003304329177695564
2020-09-28,0.003312570612928321
2020-09-29,0.0033943190467822337
2020-09-30,0.003407494297608751
2020-10-01,0.0035140526533181133
2020-10-02,0.0035573022302603898
2020-10-03,0.0035563954280771032
2020-10-04,0.0035554886258938167
2020-10-05,0.0035346914035246993
2020-10-06,0.0033884227124339507
2020-10-07,0.003302757621116078
2020-10-08,0.003227917809693546
2020-10-09,0.003237172660990653
2020-10-10,0.003236712724242098
2020-10-11,0.0032362527874935437
2020-10-12,0.0032759300719221716
2020-10-13,0.0034527038292371396
2020-10-14,0.003369461289466349
2020-10-15,0.0034412438980887987
2020-10-16,0.003421305906636208
2020-10-17,0.0034206050933333412
2020-10-18,0.0034199042800304737
2020-10-19,0.003488694959996865
2020-10-20,0.0035290141961465734
2020-10-21,0.0035416331463679626
2020-10-22,0.0036002507438416226
2020-10-23,0.0035055665536586765
2020-10-24,0.0035049293781459993
2020-10-25,0.0035042922026333216
2020-10-26,0.0035338456580063546
2020-10-27,0.0037018757085442566
2020-10-28,0.0037346184193843496
2020-10-29,0.003772065246780047
2020-10-30,0.0037455869557206614
2020-10-31,0.0037444233208997592
2020-11-01,0.0037432596860788574
2020-11-02,0.003730554814168392
2020-11-03,0.0037187389979210163
2020-11-04,0.003698720927516224
2020-11-05,0.003676610035183268
2020-11-06,0.0037363439982629524
2020-11-07,0.003735539263400307
2020-11-08,0.0037347345285376633
2020-11-09,0.0033358000540231656
2020-11-10,0.003153849065940367
2020-11-11,0.0032508442709074624
2020-11-12,0.0033564721309914188
2020-11-13,0.0032758969831365205
2020-11-14,0.0032760257341356578
2020-11-15,0.003276154485134795
2020-11-16,0.0032922220222271516
2020-11-17,0.0032857506958628123
2020-11-18,0.0032977841422347
2020-11-19,0.0032783199446975476
2020-11-20,0.003275526905999901
2020-11-21,0.003275635300144989
2020-11-22,0.003275743694290077
2020-11-23,0.0032590414125360473
2020-11-24,0.0031542522585878492
2020-11-25,0.003166521434924595
2020-11-26,0.0031669850506813833
2020-11-27,0.0031646288348989187
2020-11-28,0.00316511981946931
2020-11-29,0.0031656108040397026
2020-11-30,0.003230845668409383
2020-12-01,0.0031488884451641597
2020-12-02,0.003091942782567561
2020-12-03,0.003109123267987318
2020-12-04,0.003069220436076501
2020-12-05,0.003070031022093094
2020-12-06,0.0030708416081096854
2020-12-07,0.003122101513504133
2020-12-08,0.003136828838147241
2020-12-09,0.003114634921106022
2020-12-10,0.0031716574138676715
2020-12-11,0.003204823227730537
2020-12-12,0.0032054236495995705
2020-12-13,0.003206024071468604
2020-12-14,0.0031566698694177817
2020-12-15,0.0030715616167923078
2020-12-16,0.0031236961841659937
2020-12-17,0.003129541941950238
2020-12-18,0.00316121585337185
2020-12-19,0.0031618826070542124
2020-12-20,0.0031625493607365758
2020-12-21,0.003251201553476538
2020-12-22,0.003255568993554347
2020-12-23,0.0031476711533698232
2020-12-24,0.003152222426272447
