Date,UBS - HSBC Accumulated Oriented Area
2021-09-29,0.0037303855506399947
2021-09-30,0.0036814599593378537
2021-10-01,0.0036579643576888
2021-10-02,0.0036558967036590955
2021-10-03,0.0036538290496293912
2021-10-04,0.0036833953042751163
2021-10-05,0.003684910869583226
2021-10-06,0.0036102680333529695
2021-10-07,0.0036577497061716447
2021-10-08,0.003703147433748462
2021-10-09,0.0037015250610301785
2021-10-10,0.003699902688311894
2021-10-11,0.0036693721154217864
2021-10-12,0.0036664285303221822
2021-10-13,0.00367396557572668
2021-10-14,0.003748006783950031
2021-10-15,0.003741565164570744
2021-10-16,0.0037402439511664103
2021-10-17,0.003738922737762078
2021-10-18,0.003736336928157726
2021-10-19,0.003740442962125528
2021-10-20,0.003763673644756686
2021-10-21,0.003758533000159483
2021-10-22,0.0038010633772803198
2021-10-23,0.003799772236468645
2021-10-24,0.0037984810956569683
2021-10-25,0.003801342692987008
2021-10-26,0.0038254186551822653
2021-10-27,0.0038430126145129156
2021-10-28,0.0038646856211217886
2021-10-29,0.0038641380362842725
2021-10-30,0.003862881239849454
2021-10-31,0.0038616244434146354
2021-11-01,0.003914084138069084
2021-11-02,0.003923798823467738
2021-11-03,0.003925068930777408
2021-11-04,0.0038719008414606643
2021-11-05,0.003893819300909643
2021-11-06,0.0038924406090641676
2021-11-07,0.0038910619172186924
2021-11-08,0.0038795084550282076
2021-11-09,0.003892913630631674
2021-11-10,0.0038428637162133353
2021-11-11,0.003849395704733844
2021-11-12,0.0038398880231976986
2021-11-13,0.0038384387048354678
2021-11-14,0.0038369893864732374
2021-11-15,0.003811721809145778
2021-11-16,0.0038052577411865824
2021-11-17,0.0038464800478516543
2021-11-18,0.0037943169733006326
2021-11-19,0.003714854266870617
2021-11-20,0.003713390215038783
2021-11-21,0.003711926163206948
2021-11-22,0.0037064591267253876
2021-11-23,0.0037046164795871213
2021-11-24,0.0037221248414100955
2021-11-25,0.0037207616312688453
2021-11-26,0.003669723290214961
2021-11-27,0.0036679902676431085
2021-11-28,0.0036662572450712567
2021-11-29,0.00368239744828351
2021-11-30,0.0037197196181960376
2021-12-01,0.003688118005433282
2021-12-02,0.0037719065575354174
2021-12-03,0.0037327541083411373
2021-12-04,0.003731167230637939
2021-12-05,0.0037295803529347428
2021-12-06,0.0037584315654649175
2021-12-07,0.0037985233835946897
2021-12-08,0.003806276231356374
2021-12-09,0.0037825427179636914
2021-12-10,0.0037768910976409427
